Sentence,Tense,Verb,NER Tag,encode_sent
oh they're blue flowers,1,re,"0,0,4,0,0","0, 332, 412, 375, 1077, 1682, 2"
am I sitting on the microphone cord,1,am,"1,0,5,0,0,0,0","0, 504, 322, 1609, 307, 272, 2077, 3904, 2"
oh I should think so,1,should,"0,0,7,3,0","0, 332, 322, 789, 399, 437, 2"
you don't look where you're going,1,don't,"0,1,0,3,0,4,0,5","0, 266, 358, 309, 415, 605, 273, 375, 497, 2"
where you're going,1,re,"0,0,4,5","0, 442, 273, 375, 497, 2"
look Adam,0,None,"0,0","0, 457, 1834, 2"
Adam gave Ursula,2,gave,"0,2,0","0, 2637, 1470, 4436, 2"
did Adam give that to Ursula,2,did,"2,0,1,0,0,0","0, 546, 1834, 683, 296, 302, 4436, 2"
what do you think that is,1,do,"0,1,0,3,0,1","0, 312, 299, 273, 399, 296, 328, 2"
is that a doggie,1,is,"1,0,0,0","0, 281, 296, 265, 1407, 2"
what else,0,None,"0,0","0, 312, 568, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
oh you think that's a train,1,think,"0,0,1,0,4,0,0","0, 332, 273, 399, 296, 279, 265, 1506, 2"
that's a train,1,s,"0,4,0,0","0, 363, 279, 265, 1506, 2"
who do you think that is,1,think,"0,1,0,3,0,1","0, 478, 299, 273, 399, 296, 328, 2"
that is,1,is,"0,1","0, 363, 328, 2"
Uncle Clyde,0,None,"0,0","0, 6237, 22205, 2"
what is he doing,1,is,"0,1,0,5","0, 312, 328, 301, 593, 2"
jumping,0,None,5,"0, 7236, 2"
no I don't think so,1,don't,"0,0,1,0,3,0","0, 286, 322, 358, 309, 399, 437, 2"
I think this is a car and that must be a policeman,1,think,"0,1,0,1,0,0,0,0,7,3,0,0","0, 45, 399, 346, 328, 265, 572, 329, 296, 1200, 372, 265, 2298, 2"
and that must be a policeman,1,must,"0,0,7,3,0,0","0, 347, 296, 1200, 372, 265, 2298, 2"
and that's a train,1,s,"0,0,4,0,0","0, 347, 296, 279, 265, 1506, 2"
hello Adam,0,None,"0,0","0, 1097, 1834, 2"
well next to Adam but not on Adam,0,None,"0,0,0,0,0,0,0,0","0, 492, 973, 302, 1834, 493, 419, 307, 1834, 2"
next to Adam,0,None,"0,0,0","0, 3012, 302, 1834, 2"
next to Adam,0,None,"0,0,0","0, 3012, 302, 1834, 2"
that's a tape recorder,1,s,"0,4,0,0,0","0, 363, 279, 265, 1228, 1851, 2"
no,0,None,0,"0, 286, 2"
don't take that paper off the film,1,don't,"1,0,3,0,0,0,0,0","0, 629, 309, 577, 296, 1243, 581, 272, 6414, 2"
no,0,None,0,"0, 286, 2"
I think perhaps you'd better give it back to Ursula,1,think,"0,1,0,0,4,0,3,0,0,0,0","0, 45, 399, 5886, 273, 718, 820, 683, 290, 511, 302, 4436, 2"
you'd better give it back to Ursula,1,d,"0,4,0,3,0,0,0,0","0, 266, 718, 820, 683, 290, 511, 302, 4436, 2"
did you say thank you,2,did,"2,0,3,1,0","0, 546, 273, 460, 1157, 273, 2"
ribbon,0,None,0,"0, 31796, 2"
yes that's film,1,s,"0,0,4,0","0, 506, 296, 279, 6414, 2"
making what,0,None,"5,0","0, 5668, 339, 2"
making steamshovel,0,None,"5,0","0, 5668, 21472, 2"
tape,0,None,0,"0, 5535, 2"
what about the tape,0,None,"0,0,0,0","0, 312, 482, 272, 1228, 2"
this isn't tape,1,isn't,"0,1,0,0","0, 562, 918, 309, 1228, 2"
where's the tape,1,s,"0,4,0,0","0, 442, 279, 272, 1228, 2"
no,0,None,0,"0, 286, 2"
you've got what to pick up,1,ve,"0,4,8,0,0,3,0","0, 266, 749, 449, 339, 302, 895, 403, 2"
yes,0,None,0,"0, 506, 2"
you hafta pick the puzzle up first,1,hafta,"0,1,3,0,0,0,0","0, 266, 586, 895, 272, 1800, 403, 838, 2"
no Adam,0,None,"0,0","0, 286, 1834, 2"
where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2"
no,0,None,0,"0, 286, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
turning it,0,None,"5,0","0, 9437, 290, 2"
what,0,None,0,"0, 312, 2"
no thank you,1,thank,"0,1,0","0, 286, 1157, 273, 2"
I don't want a piece,1,don't,"0,1,0,3,0,0","0, 45, 358, 309, 427, 265, 1038, 2"
oh thank you,1,thank,"0,1,0","0, 332, 1157, 273, 2"
where did the scissors go,2,did,"0,2,0,0,3","0, 442, 407, 272, 4259, 316, 2"
Ursula may need that at her work,1,may,"0,7,3,0,0,0,0","0, 13536, 1719, 664, 296, 396, 470, 855, 2"
busy bulldozer,0,None,"0,0","0, 8350, 6279, 2"
you're going to cut it,1,re,"0,4,5,0,3,0","0, 266, 375, 497, 302, 1123, 290, 2"
I don't think she likes that little dirty tape there,1,don't,"0,1,0,3,0,1,0,0,0,0,0","0, 45, 358, 309, 399, 404, 945, 296, 439, 1591, 1228, 386, 2"
she likes that little dirty tape there,1,likes,"0,1,0,0,0,0,0","0, 531, 945, 296, 439, 1591, 1228, 386, 2"
it may have broken off from this one,1,may,"0,7,3,8,0,0,0,0","0, 274, 1719, 381, 1960, 581, 721, 346, 383, 2"
perhaps so,0,None,"0,0","0, 6270, 437, 2"
let me put it in here Adam,1,let,"1,0,3,0,0,0,0","0, 489, 376, 416, 290, 318, 402, 1834, 2"
yes,0,None,0,"0, 506, 2"
what will she use for tape if you break that up,3,will,"0,9,0,3,0,0,0,0,1,0,0","0, 312, 733, 404, 876, 397, 1228, 518, 273, 1043, 296, 403, 2"
if you break that up,1,break,"0,0,1,0,0","0, 426, 273, 1043, 296, 403, 2"
alright,0,None,0,"0, 671, 2"
oh microphone ribbon,0,None,"0,0,0","0, 332, 2077, 4990, 2"
why does the microphone need a ribbon,1,does,"0,1,0,0,3,0,0","0, 601, 462, 272, 2077, 664, 265, 4990, 2"
I tie it,1,tie,"0,1,0","0, 45, 3068, 290, 2"
you what,0,None,"0,0","0, 266, 339, 2"
I tie it up,1,tie,"0,1,0,0","0, 45, 3068, 290, 403, 2"
oh you're tying it up,1,re,"0,0,4,5,0,0","0, 332, 273, 375, 12524, 290, 403, 2"
yes it needs a bib,1,needs,"0,0,1,0,0","0, 506, 290, 1815, 265, 3061, 2"
why does the microphone need a bib,1,does,"0,1,0,0,3,0,0","0, 601, 462, 272, 2077, 664, 265, 3061, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
I why are you putting it in there,1,are,"0,0,1,0,5,0,0,0","0, 45, 793, 385, 273, 1620, 290, 318, 386, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
that's a what,1,s,"0,4,0,0","0, 363, 279, 265, 339, 2"
a trash truck,0,None,"0,0,0","0, 69, 2530, 971, 2"
no don't put it on your tricycle Adam,1,don't,"0,1,0,3,0,0,0,0,0","0, 286, 358, 309, 416, 290, 307, 345, 6128, 1834, 2"
oh you're putting some gas in the tricycle,1,re,"0,0,4,5,0,0,0,0,0","0, 332, 273, 375, 1620, 430, 2880, 318, 272, 6128, 2"
no Adam,0,None,"0,0","0, 286, 1834, 2"
don't ride with that cord,1,don't,"1,0,3,0,0,0","0, 629, 309, 1446, 392, 296, 3904, 2"
that's part of the tape recorder,1,s,"0,4,0,0,0,0,0","0, 363, 279, 1031, 340, 272, 1228, 1851, 2"
oh that's a street broom,1,s,"0,0,4,0,0,0","0, 332, 296, 279, 265, 2022, 3367, 2"
alright but don't play with the cord like that,1,don't,"0,0,1,0,3,0,0,0,0,0","0, 671, 493, 358, 309, 465, 392, 272, 3904, 349, 296, 2"
no honey,0,None,"0,0","0, 286, 925, 2"
I'm sorry,1,m,"0,4,0","0, 45, 488, 1406, 2"
no you can't play with it Adam,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 465, 392, 290, 1834, 2"
let's put the puzzle together,1,let's,"1,0,3,0,0,0","0, 489, 279, 416, 272, 1800, 1092, 2"
poor head,0,None,"0,0","0, 2719, 870, 2"
oh poor head,0,None,"0,0,0","0, 332, 2474, 870, 2"
how's your doggie doing,1,s,"0,4,0,0,5","0, 467, 279, 345, 1407, 593, 2"
fine thank you,1,thank,"0,1,0","0, 4307, 1157, 273, 2"
oh good,0,None,"0,0","0, 332, 455, 2"
oh the doggie eats breakfast,1,eats,"0,0,0,1,0","0, 332, 272, 1407, 1997, 1515, 2"
is he eating his breakfast now,1,is,"1,0,5,0,0,0","0, 281, 301, 1074, 505, 1515, 508, 2"
what does he have for breakfast,1,does,"0,1,0,3,0,0","0, 312, 462, 301, 381, 397, 1515, 2"
oh he has cereal,1,has,"0,0,1,0","0, 332, 301, 606, 1863, 2"
what kind of cereal,0,None,"0,0,0,0","0, 312, 549, 340, 1863, 2"
he has hot cereal,1,has,"0,1,0,0","0, 262, 606, 1063, 1863, 2"
what about your puzzle,0,None,"0,0,0,0","0, 312, 482, 345, 1800, 2"
what,0,None,0,"0, 312, 2"
will that fit in there,3,will,"9,0,3,0,0","0, 1877, 296, 1249, 318, 386, 2"
want your vitamins,1,want,"1,0,0","0, 1079, 345, 5353, 2"
thank you,1,thank,"1,0","0, 764, 273, 2"
what kinds of vitamins are those,1,are,"0,0,0,0,1,0","0, 312, 2114, 340, 5353, 385, 594, 2"
Adam's vitamins,0,None,"0,0,0","0, 2637, 279, 5353, 2"
vitamin Cromer's,0,None,"0,0,0","0, 14785, 4552, 279, 2"
Adam was that vitamin Cromer's,2,was,"0,2,0,0,0,0","0, 2637, 405, 296, 7119, 4552, 279, 2"
I need a vitamin too,1,need,"0,1,0,0,0","0, 45, 664, 265, 7119, 498, 2"
what kind of vitamin,0,None,"0,0,0,0","0, 312, 549, 340, 7119, 2"
www,0,None,0,"0, 567, 2"
yes,0,None,0,"0, 506, 2"
are you going to give it to Ursula,3,are you going to,"1,0,5,0,3,0,0,0","0, 472, 273, 497, 302, 683, 290, 302, 4436, 2"
no not that bag Adam,0,None,"0,0,0,0,0","0, 286, 419, 296, 1400, 1834, 2"
please,0,None,0,"0, 1653, 2"
no,0,None,0,"0, 286, 2"
that's his pen,1,s,"0,4,0,0","0, 363, 279, 505, 1258, 2"
for you,0,None,"0,0","0, 1167, 273, 2"
sting,0,None,0,"0, 4047, 2"
oh that's an elephant,1,s,"0,0,4,0,0","0, 332, 296, 279, 413, 1103, 2"
lost a piggie,2,lost,"2,0,0","0, 12330, 265, 3115, 2"
what,0,None,0,"0, 312, 2"
Perry,0,None,"0,0","0, 52, 2596, 2"
grandfather,0,None,0,"0, 21226, 2"
you're dripping down,1,re,"0,4,5,0","0, 266, 375, 7700, 483, 2"
at the mouth,0,None,"0,0,0","0, 341, 272, 813, 2"
Adam did,2,did,"0,2","0, 2637, 407, 2"
airplane,0,None,0,"0, 5733, 2"
I have one,1,have,"0,1,0","0, 45, 381, 383, 2"
thank you,1,thank,"1,0","0, 764, 273, 2"
oh no,0,None,"0,0","0, 332, 361, 2"
I'd rather write with this one,1,d,"0,7,0,3,0,0,0","0, 45, 718, 2800, 1330, 392, 346, 383, 2"
he's been practicing that,1,s,"0,4,8,5,0","0, 262, 279, 984, 7174, 296, 2"
he's started being very particular about saying two this or two that,2,started,"0,4,8,5,0,0,0,5,0,0,0,0,0","0, 262, 279, 1766, 1518, 595, 3807, 482, 1498, 659, 346, 501, 659, 296, 2"
I don't think the doggie wants to write,1,don't,"0,1,0,3,0,0,1,0,3","0, 45, 358, 309, 399, 272, 1407, 1104, 302, 1330, 2"
the doggie wants to write,1,wants,"0,0,1,0,3","0, 321, 1407, 1104, 302, 1330, 2"
I think he's rather have you write,1,think,"0,1,0,4,0,3,0,3","0, 45, 399, 301, 279, 2800, 381, 273, 1330, 2"
he's rather have you write,1,s,"0,4,0,3,0,3","0, 262, 279, 2800, 381, 273, 1330, 2"
who did that,2,did,"0,2,0","0, 478, 407, 296, 2"
who did that,2,did,"0,2,0","0, 478, 407, 296, 2"
I guess Adam did,2,guess,"0,0,0,2","0, 45, 1020, 1834, 407, 2"
Adam did,2,did,"0,2","0, 2637, 407, 2"
who did what,2,did,"0,2,0","0, 478, 407, 339, 2"
that's a can opener,1,s,"0,4,0,0,0","0, 363, 279, 265, 377, 11445, 2"
did you ask Ursula if you could go in her bag,2,did,"2,0,3,0,0,0,7,3,0,0,0","0, 546, 273, 1263, 4436, 518, 273, 658, 316, 318, 470, 1400, 2"
if you could go in her bag,2,could,"0,0,7,3,0,0,0","0, 426, 273, 658, 316, 318, 470, 1400, 2"
what,0,None,0,"0, 312, 2"
have something on the table that Ursula brought Adam,1,have,"1,0,0,0,0,0,0,2,0","0, 1541, 619, 307, 272, 1018, 296, 4436, 2199, 1834, 2"
that Ursula brought Adam,2,brought,"0,0,2,0","0, 363, 4436, 2199, 1834, 2"
yes it's sitting right there,1,s,"0,0,4,5,0,0","0, 506, 290, 279, 1609, 434, 386, 2"
okay,0,None,0,"0, 367, 2"
you can close it if you want,1,can,"0,7,3,0,0,0,1","0, 266, 377, 1136, 290, 518, 273, 427, 2"
if you want,1,want,"0,0,1","0, 426, 273, 427, 2"
no,0,None,0,"0, 286, 2"
let her write Adam,1,let,"1,0,3,0","0, 489, 470, 1330, 1834, 2"
she needs that pencil,1,needs,"0,1,0,0","0, 531, 1815, 296, 2746, 2"
where did you put Ursula's other pencil,2,did,"0,2,0,3,0,0,0,0","0, 442, 407, 273, 416, 4436, 279, 617, 2746, 2"
I thought you wanted Ursula to read that,2,thought,"0,2,0,2,0,0,3,0","0, 45, 1006, 273, 1370, 4436, 302, 569, 296, 2"
you wanted Ursula to read that,2,wanted,"0,2,0,0,3,0","0, 266, 1370, 4436, 302, 569, 296, 2"
what,0,None,0,"0, 312, 2"
what,0,None,0,"0, 312, 2"
just like Adam's ladder,0,None,"0,0,0,0,0","0, 799, 349, 1834, 279, 3193, 2"
this book belongs to,1,belongs,"0,0,1,0","0, 562, 523, 4127, 302, 2"
Adam Smith,0,None,"0,0","0, 2637, 8913, 2"
pink,0,None,0,"0, 4485, 2"
pink as,0,None,"0,0","0, 4485, 616, 2"
pink as,0,None,"0,0","0, 4485, 616, 2"
pink as a,0,None,"0,0,0","0, 4485, 616, 265, 2"
or a baby's nose,0,None,"0,0,0,0,0","0, 313, 265, 477, 279, 1042, 2"
and it made,2,made,"0,0,2","0, 347, 290, 1036, 2"
orange orange as an orange,0,None,"0,0,0,0,0","0, 2765, 1245, 616, 413, 1245, 2"
tree,0,None,0,"0, 6429, 2"
orange as a,0,None,"0,0,0","0, 2765, 616, 265, 2"
orange as the setting,0,None,"0,0,0,0","0, 2765, 616, 272, 7603, 2"
sinking,0,None,"5,0","0, 87, 11671, 2"
in the,0,None,"0,0","0, 268, 272, 2"
sea,0,None,0,"0, 5789, 2"
it didn't make,2,didn't,"0,2,0,0","0, 274, 611, 309, 550, 2"
made a deep dark,2,made,"2,0,0,0","0, 4247, 265, 4506, 2428, 2"
there they are,1,are,"0,0,1","0, 461, 412, 385, 2"
there is purple,1,is,"0,1,0","0, 461, 328, 2196, 2"
there are the kitties,1,are,"0,1,0,0","0, 461, 385, 272, 4562, 2"
they're sitting at the table,1,re,"0,4,5,0,0,0","0, 544, 375, 1609, 396, 272, 1018, 2"
go,1,go,1,"0, 741, 2"
I don't think they went anyplace,1,don't,"0,1,0,3,0,2,0","0, 45, 358, 309, 399, 412, 775, 11702, 2"
they went anyplace,2,went,"0,2,0","0, 544, 775, 11702, 2"
we read that side,1,read,"0,1,0,0","0, 379, 569, 296, 1256, 2"
they're painting,1,re,"0,4,5","0, 544, 375, 2887, 2"
brown as a,0,None,"0,0,0","0, 4162, 616, 265, 2"
brown as an old,0,None,"0,0,0,0","0, 4162, 616, 413, 989, 2"
goat,0,None,0,"0, 9974, 2"
brown as a,0,None,"0,0,0","0, 4162, 616, 265, 2"
that's not bumble bee that's a beaver,1,s,"0,4,0,0,0,0,4,0,0","0, 363, 279, 419, 3636, 1448, 296, 279, 265, 4144, 2"
that's a beaver,1,s,"0,4,0,0","0, 363, 279, 265, 4144, 2"
brown,0,None,0,"0, 4162, 2"
the sun went down,2,went,"0,0,2,0","0, 321, 1624, 775, 483, 2"
where does the sun go at night,1,does,"0,1,0,0,3,0,0","0, 442, 462, 272, 1624, 316, 396, 905, 2"
one,0,None,0,"0, 464, 2"
two,0,None,0,"0, 1201, 2"
a world of Easter,0,None,"0,0,0,0","0, 69, 2508, 340, 3742, 2"
well I don't think so,1,don't,"0,0,1,0,3,0","0, 492, 322, 358, 309, 399, 437, 2"
and the color kittens had,2,had,"0,0,0,0,2","0, 347, 272, 729, 3804, 630, 2"
I just read that,2,read,"0,0,2,0","0, 45, 458, 569, 296, 2"
you read it to me now,1,read,"0,2,0,0,0,0","0, 266, 569, 290, 302, 376, 508, 2"
fireman,0,None,0,"0, 11838, 2"
Bambi,0,None,0,"0, 7045, 2"
Pinocchio and Jiminy Cricket,0,None,"0,0,0,0","0, 16205, 329, 11540, 18641, 2"
a bear,0,None,"0,0","0, 69, 886, 2"
color kittens,0,None,"0,0","0, 4282, 3804, 2"
doggie,0,None,0,"0, 3291, 2"
bear,0,None,0,"0, 3441, 2"
car,0,None,0,"0, 1989, 2"
wheel,0,None,0,"0, 8738, 2"
train,0,None,0,"0, 9530, 2"
wheel,0,None,0,"0, 8738, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
duck,0,None,0,"0, 2576, 2"
that's the bear riding a unicycle,1,s,"0,4,0,0,5,0,0","0, 363, 279, 272, 886, 2960, 265, 16657, 2"
Ursula what,0,None,"0,0","0, 13536, 339, 2"
what,0,None,0,"0, 312, 2"
still there,0,None,"0,0","0, 3986, 386, 2"
she's still there,1,s,"0,4,0,0","0, 531, 279, 839, 386, 2"
yeah Ursula's still there,1,s,"0,0,4,0,0","0, 352, 4436, 279, 839, 386, 2"
bucket's still there,1,s,"0,4,0,0","0, 21224, 279, 839, 386, 2"
the color kittens are still there,1,are,"0,0,0,1,0,0","0, 321, 729, 3804, 385, 839, 386, 2"
hat,0,None,0,"0, 271, 2"
a bucket of paint,0,None,"0,0,0,0","0, 69, 4128, 340, 1947, 2"
color kitten,0,None,"0,0","0, 4282, 2593, 2"
it's too small to tie up,1,s,"0,4,0,0,0,3,0","0, 274, 279, 498, 1340, 302, 3068, 403, 2"
why is it too small to tie up,1,is,"0,1,0,0,0,0,3,0","0, 601, 328, 290, 498, 1340, 302, 3068, 403, 2"
alright,0,None,0,"0, 671, 2"
now it's large enough,1,s,"0,0,4,0,0","0, 330, 290, 279, 4770, 1166, 2"
alright,0,None,0,"0, 671, 2"
now it's large enough,1,s,"0,0,4,0,0","0, 330, 290, 279, 4770, 1166, 2"
you wanna get down,1,wanna,"0,1,3,0","0, 266, 423, 394, 483, 2"
get down,1,get,"1,0","0, 657, 483, 2"
jump down,1,jump,"1,0","0, 2561, 483, 2"
I don't know what you're saying,1,don't,"0,1,0,3,0,4,0,5","0, 45, 358, 309, 378, 339, 273, 375, 1498, 2"
what you're saying,1,re,"0,0,4,5","0, 312, 273, 375, 1498, 2"
what're you saying,1,re,"0,4,0,5","0, 312, 375, 273, 1498, 2"
jump down,1,re,"1,0","0, 2561, 483, 2"
what about time,0,None,"0,0,0","0, 312, 482, 627, 2"
what time,0,None,"0,0","0, 312, 627, 2"
post office mail,0,None,"0,0,0","0, 19786, 4234, 2206, 2"
where are you going with Ursula's cup,1,are,"0,1,0,5,0,0,0,0","0, 442, 385, 273, 497, 392, 4436, 279, 853, 2"
no bring it back,1,bring,"0,1,0,0","0, 286, 1114, 290, 511, 2"
and bring the pencils back too,1,bring,"0,1,0,0,0,0","0, 347, 1114, 272, 7237, 511, 498, 2"
where did you put the milk,2,did,"0,2,0,3,0,0","0, 442, 407, 273, 416, 272, 894, 2"
in the refrigerator so it will be nice and warm,3,will,"0,0,0,0,0,9,3,0,0,0","0, 268, 272, 2686, 437, 290, 733, 372, 666, 329, 1811, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
no he doesn't want the dirty pencil in his mouth,1,doesn't,"0,0,1,0,3,0,0,0,0,0,0","0, 286, 301, 644, 309, 427, 272, 1591, 2746, 318, 505, 813, 2"
it doesn't taste good does it,1,doesn't,"0,1,0,3,0,1,0","0, 274, 644, 309, 1587, 455, 462, 290, 2"
well why don't you take it out,1,don't,"0,0,1,0,0,3,0,0","0, 492, 793, 358, 309, 273, 577, 290, 428, 2"
Adam take the pencil out of your mouth,1,take,"0,1,0,0,0,0,0,0","0, 2637, 577, 272, 2746, 428, 340, 345, 813, 2"
what is the pencil,1,is,"0,1,0,0","0, 312, 328, 272, 2746, 2"
what,0,None,0,"0, 312, 2"
I think it's either a moustache or a smokestack,1,think,"0,1,0,4,0,0,0,0,0,0","0, 45, 399, 290, 279, 1539, 265, 9041, 501, 265, 27070, 2"
it's either a moustache or a smokestack,1,s,"0,4,0,0,0,0,0,0","0, 274, 279, 1539, 265, 9041, 501, 265, 27070, 2"
you're going to see the bear,3,re going to,"0,4,5,0,3,0,0","0, 266, 375, 497, 302, 384, 272, 886, 2"
take the pencil out of your mouth,1,take,"1,0,0,0,0,0,0","0, 1363, 272, 2746, 428, 340, 345, 813, 2"
there isn't milk in here,1,isn't,"0,1,0,0,0,0","0, 461, 918, 309, 894, 318, 402, 2"
there's ice in here,1,s,"0,4,0,0,0","0, 461, 279, 975, 318, 402, 2"
in the fire,0,None,"0,0,0","0, 268, 272, 1244, 2"
what,0,None,0,"0, 312, 2"
for cigarette,0,None,"0,0","0, 1167, 8356, 2"
oh thank you,1,thank,"0,1,0","0, 332, 1157, 273, 2"
take it out of your mouth Adam,1,take,"1,0,0,0,0,0,0","0, 1363, 290, 428, 340, 345, 813, 1834, 2"
you don't see Cromer smoking do you,1,don't,"0,1,0,3,0,5,1,0","0, 266, 358, 309, 384, 4552, 8140, 299, 273, 2"
to why do you wanna smoke,1,don't,"0,0,1,0,3,3","0, 634, 793, 299, 273, 423, 4409, 2"
do you know whose face that is,1,don't,"1,0,3,0,0,0,1","0, 410, 273, 378, 4002, 1189, 296, 328, 2"
whose face is that,1,is,"0,0,1,0","0, 2301, 1189, 328, 296, 2"
no,0,None,0,"0, 286, 2"
there,0,None,0,"0, 461, 2"
who is it,1,is,"0,1,0","0, 478, 328, 290, 2"
who has a moustache,1,has,"0,1,0,0","0, 478, 606, 265, 9041, 2"
yes the man has a moustache but do you know the man's name,1,has,"0,0,0,1,0,0,0,1,0,3,0,0,0,0","0, 506, 272, 686, 606, 265, 9041, 493, 299, 273, 378, 272, 686, 279, 766, 2"
but do you know,1,do,"0,1,0,3","0, 545, 299, 273, 378, 2"
who looks like that,1,looks,"0,1,0,0","0, 478, 651, 349, 296, 2"
no thank you,1,thank,"0,1,0","0, 286, 1157, 273, 2"
what are you doing now,1,are,"0,1,0,5,0","0, 312, 385, 273, 593, 508, 2"
that's his hair,1,s,"0,4,0,0","0, 363, 279, 505, 875, 2"
mhm,0,None,0,"0, 554, 2"
there are his ears,1,are,"0,1,0,0","0, 461, 385, 505, 1696, 2"
two,0,None,0,"0, 1201, 2"
and two eyes,0,None,"0,0,0","0, 347, 659, 1102, 2"
and a nose,0,None,"0,0,0","0, 347, 265, 1042, 2"
and moustache,0,None,"0,0","0, 347, 9041, 2"
and mouth,0,None,"0,0","0, 347, 813, 2"
and chin,0,None,"0,0","0, 347, 3586, 2"
and a necktie,0,None,"0,0,0","0, 347, 265, 22816, 2"
and shirt,0,None,"0,0","0, 347, 1476, 2"
now who is it,1,is,"0,0,1,0","0, 330, 592, 328, 290, 2"
good,0,None,0,"0, 622, 2"
Adam's a big boy,1,s,"0,4,0,0,0","0, 2637, 279, 265, 535, 694, 2"
what,0,None,0,"0, 312, 2"
two truck,0,None,"0,0","0, 1201, 971, 2"
like a tow truck,0,None,"0,0,0,0","0, 929, 265, 5604, 971, 2"
oh your tow truck is right there,1,is,"0,0,0,0,1,0,0","0, 332, 345, 5604, 971, 328, 434, 386, 2"
what do you use your tow truck for,1,do,"0,1,0,3,0,0,0,0","0, 312, 299, 273, 876, 345, 5604, 971, 397, 2"
use Alvin's tow truck,1,use,"1,0,0,0,0","0, 1542, 26323, 279, 5604, 971, 2"
I thought that was Adam's tow truck,2,thought,"0,2,0,2,0,0,0,0","0, 45, 1006, 296, 405, 1834, 279, 5604, 971, 2"
that was Adam's tow truck,2,was,"0,2,0,0,0,0","0, 363, 405, 1834, 279, 5604, 971, 2"
what else,0,None,"0,0","0, 312, 568, 2"
he doesn't wanna put your dirty cowboy hat on his head,1,doesn't,"0,1,0,3,3,0,0,0,0,0,0,0","0, 262, 644, 309, 423, 416, 345, 1591, 3640, 978, 307, 505, 870, 2"
aren't you ashamed,1,aren't,"1,0,0,0","0, 1973, 309, 273, 14303, 2"
of Daddy,0,None,"0,0","0, 786, 825, 2"
don't stand up on the chair honey,1,don't,"1,0,3,0,0,0,0,0","0, 629, 309, 1211, 403, 307, 272, 910, 925, 2"
remember we don't stand up on chairs,1,remember,"1,0,1,0,3,0,0,0","0, 1238, 331, 358, 309, 1211, 403, 307, 2700, 2"
we don't stand up on chairs,1,don't,"0,1,0,3,0,0,0","0, 379, 358, 309, 1211, 403, 307, 2700, 2"
we sit down on chairs,1,sit,"0,1,0,0,0","0, 379, 726, 483, 307, 2700, 2"
you don't wanna,1,don't,"0,1,0,3","0, 266, 358, 309, 423, 2"
alright,0,None,0,"0, 671, 2"
don't tie it up,1,don't,"1,0,3,0,0","0, 629, 309, 3068, 290, 403, 2"
why don't you pick up Cromer's pen and give it to him before you break it,1,don't,"0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0","0, 601, 358, 309, 273, 895, 403, 4552, 279, 1258, 329, 683, 290, 302, 502, 1000, 273, 1043, 290, 2"
and give it to him before you break it,1,give,"0,1,0,0,0,0,0,1,0","0, 347, 683, 290, 302, 502, 1000, 273, 1043, 290, 2"
it's on the floor,1,s,"0,4,0,0,0","0, 274, 279, 307, 272, 1191, 2"
what's so funny,1,s,"0,4,0,0","0, 312, 279, 437, 962, 2"
that's not football it's basketball,1,s,"0,4,0,0,0,4,0","0, 363, 279, 419, 1972, 290, 279, 4302, 2"
mhm,0,None,0,"0, 554, 2"
basketball,0,None,0,"0, 10074, 2"
no that's not the moon,1,s,"0,0,4,0,0,0","0, 286, 296, 279, 419, 272, 1311, 2"
basketball,0,None,0,"0, 10074, 2"
those are shoes for basketball,1,are,"0,1,0,0,0","0, 1144, 385, 1112, 397, 4302, 2"
what the men are playing over there,1,are,"0,0,0,1,5,0,0","0, 312, 272, 2466, 385, 1124, 521, 386, 2"
trying to get the ball in the basket,0,None,"5,0,3,0,0,0,0,0","0, 4465, 302, 394, 272, 690, 318, 272, 1859, 2"
football is when they kick the ball,1,is,"0,1,0,0,1,0,0","0, 6108, 328, 536, 412, 2287, 272, 690, 2"
yes that is a train,1,is,"0,0,1,0,0","0, 506, 296, 328, 265, 1506, 2"
no I don't think he's tired,1,don't,"0,0,1,0,3,0,4,0","0, 286, 322, 358, 309, 399, 301, 279, 1516, 2"
he's tired,1,s,"0,4,0","0, 262, 279, 1516, 2"
he has his hand up to his chin,1,has,"0,1,0,0,0,0,0,0","0, 262, 606, 505, 701, 403, 302, 505, 3586, 2"
come on pal,1,come,"1,0,0","0, 528, 307, 4807, 2"
come on pal,1,come,"1,0,0","0, 528, 307, 4807, 2"
a pal,0,None,"0,0","0, 69, 4807, 2"
no,0,None,0,"0, 286, 2"
cowboy likes a house,1,likes,"0,1,0,0","0, 8583, 945, 265, 713, 2"
it's a restaurant where you go to eat,1,s,"0,4,0,0,0,0,1,0,3","0, 274, 279, 265, 4862, 605, 273, 316, 302, 466, 2"
where you go to eat,1,go,"0,0,1,0,3","0, 442, 273, 316, 302, 466, 2"
