Sentence,Tense,Verb,NER Tag
you hit Mr Cromer with your shoes,2,hit,"0,2,0,0,0,0,0"
you kicked him with your shoe,2,kicked,"0,2,0,0,0,0"
kiss it,1,kiss,"1,0"
kiss what,1,kiss,"1,0"
you want him to kiss your dirty shoes,1,want,"0,1,0,0,3,0,0,0"
he has dirty feet doesn't he,1,has,"0,1,0,0,1,0"
doesn't he,1,doesn't,"1,0"
no that's not yours is it,1,s,"0,4,0,0,1,0"
is it,1,is,"1,0"
under there,0,None,
let who,1,let,"1,0"
who,0,None,
no Adam,0,None,
don't step on it,1,don't,"1,3,0,0"
Daddy's going to ride in the car,1,s,"4,5,0,3,0,0,0"
he's not a copy cat,1,s,"4,0,0,0,0"
you're a copy cat,1,re,"4,0,0,0"
don't break the points Adam he needs that to write with,1,don't,"1,3,0,0,0,0,1,0,0,3,0"
he needs that to write with,1,needs,"0,1,0,0,3,0"
I think he meant let me play with Mr Cromer,1,think,"0,1,0,2,1,0,3,0,0,0"
he meant let me play with Mr Cromer,2,meant,"0,2,1,0,3,0,0,0"
let me play with Mr Cromer,1,let,"1,0,3,0,0,0"
something broke,2,broke,"0,2"
don't break Mr Cromer's pencil,1,don't,"1,3,0,0,0"
he won't be able to write anymore,3,won't,"0,9,3,0,0,3,0"
where are you putting that Adam,1,don't,"0,1,0,5,0,0"
don't what,1,change,"1,0"
change,1,is,1
where is the point,1,show,"0,1,0,0"
show me the point,1,put,"1,0,0,0"
put your finger on the point,1,s,"1,0,0,0,0,0"
birdie toe,0,None,
that's the point,1,s,"4,0,0"
this is what you write with,1,is,"0,1,0,0,1,0"
what you write with,1,write,"0,0,1,0"
no that's not apple,1,s,"0,4,0,0"
no,0,None,
no thank you,1,thank,"0,1,0"
what are you doing,1,are,"0,1,0,5"
you dropped your hat,2,dropped,"0,2,0,0"
what is that,1,is,"0,1,0"
don't hit the table so hard,1,don't,"1,3,0,0,0,0"
you fell down,2,fell,"0,2,0"
why did you fall down,2,did,"0,2,0,3,0"
eat,1,eat,1
I'm not hungry,1,m,"4,0,0"
no thank you,1,thank,"0,1,0"
no thank you,1,thank,"0,1,0"
I don't want a spoon,1,don't,"0,1,3,0,0"
be quiet,1,be,"3,0"
oh you're going to eat,3,re going to,"0,4,5,0,3"
no thank you,1,thank,"0,1,0"
you already brought the supper,2,brought,"0,0,2,0,0"
you two be quiet,1,be,"0,0,5,0"
alright,0,None,
what is it,1,is,"0,1,0"
oh it's macaroni,1,s,"0,4,0"
let me eat the macaroni,1,let,"1,0,3,0,0"
that's very good,1,s,"4,0,0"
did you bake that yourself,2,did,"2,0,3,0,0"
like a piece of meat,0,None,
no thank you,1,thank,"0,1,0"
I don't know,1,don't,"0,1,3"
maybe you dropped it out in the kitchen,2,dropped,"0,0,2,0,0,0,0,0"
what kind of meat is it,1,is,"0,0,0,0,1,0"
big meat,0,None,
no thank you,1,thank,"0,1,0"
don't push Adam ,1,push,"1,3,0"
that's not nice,1,s,"4,0,0"
what are you getting now,1,are,"0,1,0,5,0"
I don't think you need a fork,1,don't,"0,1,3,0,1,0,0"
you need a fork,1,need,"0,1,0,0"
Adam what are you doing,1,are,"0,0,1,0,5"
why do you have a hat ,1,do ,"0,1,0,3,0,0"
and why do you have that,1,do,"0,0,1,0,3,0"
careful,0,None,
that was in the trash ,2,was,"0,2,0,0,0"
and you took it out didn't you,2,took,"0,0,2,0,0,2,0"
didn't you,2,didn't,"2,0"
what,0,None,
bite your pants,1,bite,"1,0,0"
who bit your pants,2,bit,"0,2,0,0"
doggie did,2,did,"0,2"
which doggie,0,None,
oh tomorrow you'll go fishing,3,ll,"0,0,6,0,5"
the fish bit you and the cowboy bit you and a big doggie bit you,2,bit,"0,0,2,0,0,0,0,2,0,0,0,0,0,2,0"
and the cowboy bit you and a big doggie bit you,2,bit,"0,0,0,2,0,0,0,0,0,2,0"
and a big doggie bit you,2,bit,"0,0,0,0,2,0"
you got lots_of bites didn't you,2,got,"0,2,0,0,0,2,0"
didn't you,2,didn't,"2,0"
why do you hafta put the hat on when you're out there,1,do,"0,1,0,3,3,0,0,0,0,4,0,0"
when you're out there,1,re,"0,4,0,0"
why do you hafta wear a hat,1,do,"0,1,0,3,3,0,0"
oh big doggie bite Ursla and Cromer,0,None,
what are you doing,1,are,"0,1,0,5"
cowboy lost the hat,2,lost,"0,2,0,0"
bandana,0,None,
you don't wear a bandana,1,don't,"0,1,3,0,0"
cowboy likes a boot,1,likes,"0,1,0,0"
why does the cowboy like boots,1,does,"0,1,0,0,3,0"
you don't have any boots on,1,don't,"0,1,3,0,0,0"
you have a hat on,1,have,"0,1,0,0,0"
what else,0,None,
what else do you have on Adam,1,do,"0,0,1,0,3,0,0"
what else,0,None,
bandana,0,None,
you don't have any bandana,1,don't,"0,1,3,0,0"
what else,0,None,
hat,0,None,
what else,0,None,
what else,0,None,
who took them,2,took,"0,2,0"
Santa did,2,did,"0,2"
oh he can't write with a spoon,1,can't,"0,0,7,3,0,0,0"
you write with a pencil,1,write,"0,1,0,0,0"
tomato,0,None,
put it in your hat,1,put,"1,0,0,0,0"
what are you doing,1,are,"0,1,0,5"
you're going to fall,3,re going to,"4,5,0,3"
what,0,None,
a what,0,None,
you will,3,will,"0,9"
just a minute Santa Claus,0,None,
oh Santa Claus has boots on just like you,1,has,"0,0,0,1,0,0,0,0,0"
let you need them on,1,let,"1,0,3,0,0"
oh you're going to get the saddle and bridle,3,re going to ,"0,4,5,0,3,0,0,0,0"
oh the saddle and bridle are all_gone,1,are,"0,0,0,0,0,1,0,8"
what happened to them,2,happened,"0,2,0,0"
Mommy's pointing,1,s,"4,5"
oh,0,None,
your saddle and bridle,0,None,
oh that's what cowboy's horses wear,1,s,"0,4,0,0,0,1"
what cowboy's horses wear,1,wear,"0,0,0,1"
who get out,1,get,"0,1,0"
cowboys did,2,did,"0,2"
watch your head,1,watch,"1,0,0"
oh you'll be back,3,ll ,"0,6,3,0"
where are you,1,are,"0,1,0"
you're where,1,re,"4,0"
a little while,0,None,
oh you're okay ,1,re,"0,4,0"
you wanna play in the bunkhouse,1,wanna,"0,1,3,0,0,0"
other bunkhouse,0,None,
somebody went away,2,went,"0,2,0"
you're going to dance with Cromer,3,re going to,"4,5,0,3,0,0"
no Adam don't put that in the microphone,1,don't,"0,0,1,3,0,0,0,0"
that can't go in there,1,can't,"0,7,3,0,0"
no don't put it in the microphone,1,don't,"0,1,3,0,0,0,0"
what is it anyway,1,is,"0,1,0,0"
that's not a screw,1,s,"4,0,0,0"
no that isn't a screw,1,isn't,"0,0,1,0,0"
is that part of the broom,1,is,"1,0,0,0,0,0"
Adam no,0,None,
she needs to write with the pencil,1,needs,"0,1,0,3,0,0,0"
Adam,0,None,
that wasn't nice was it,2,wasn't,"0,2,0,2,0"
was it,2,was,"2,0"
what are those,1,are,"0,1,0"
Jesus,0,None,
Jesus stands up what,1,stands,"0,1,0,0"
oh horsie,0,None,
another Jesus,0,None,
Jesus does what,1,does,"0,1,0"
stirs,1,stirs,1
Jesus walks,1,walks,"0,1"
walk,0,None,
did what,2,did,"2,0"
no Adam that's not nice,1,s,"0,0,4,0,0"
write on your paper,1,write,"1,0,0,0"
no don't get on the table,1,don't,"0,1,3,0,0,0"
where's the hook an ladder,1,s,"4,0,0,0,0"
get off the table honey,1,get,"1,0,0,0,0"
the table may fall,1,may,"0,0,7,3"
you knocked it off,2,knocked,"0,2,0,0"
why is that a Jesus,1,is,"0,1,0,0,0"
careful with the pencil honey,0,None,
we're Jesus,1,re,"4,0"
no don't you hit anybody with the pencil,1,don't,"0,1,0,3,0,0,0,0"
stop crying,1,stop,"0,5"
Adam be careful with the pencil,1,be,"0,3,0,0,0,0"
well you bring it and put it on the table,1,bring,"0,0,1,0,0,1,0,0,0,0"
and put it on the table,1,put,"0,1,0,0,0,0"
Adam pick the pencil up and put it on the table,1,pick,"0,1,0,0,0,0,1,0,0,0,0"
and put it on the table,1,put,"0,1,0,0,0,0"
you're rolling the tape,1,re,"4,5,0,0"
careful with your pencil honey,0,None,
Adam no don't do that to the rug,1,don't,"0,0,1,3,0,0,0,0"
okay,0,None,
Adam,0,None,
don't put the screwdriver on the rug like that,1,don't,"1,3,0,0,0,0,0,0,0"
what do you use your screwdriver for,1,don't,"0,1,0,3,0,0,0"
not for digging,0,None,"0,0,5"
you use a shovel for digging,1,use,"0,1,0,0,0,5"
yes you need a shovel but you don't have a shovel so you can't dig,1,need,"0,0,1,0,0,0,0,1,3,0,0,0,0,7,3"
but you don't have a shovel so you can't dig,1,don't,"0,0,1,3,0,0,0,0,7,3"
so you can't dig,1,can't,"0,0,7,3"
yes but you don't have a shovel do you,1,don't,"0,0,0,1,3,0,0,1,0"
when spring comes and we go outside you may have a shovel to dig in the sand outside,1,comes,"0,0,1,0,0,1,0,0,7,3,0,0,0,3,0,0,0,0"
and we go outside you may have a shovel to dig in the sand outside,1,go,"0,0,1,0,0,7,3,0,0,0,3,0,0,0,0"
you may have a shovel to dig in the sand outside,1,may,"0,7,3,0,0,0,3,0,0,0,0"
why don't you go work on your firetruck with the screwdriver,1,don't,"0,1,0,3,3,0,0,0,0,0,0"
what about the screws on your firetruck,0,None,
are they all there,1,are,"1,0,0,0"
mhm,0,None,
she doesn't have anything to show you in that bag,1,doesn't,"0,1,3,0,0,3,0,0,0,0"
where's Robin on there,1,s,"4,0,0,0"
no that's not David,1,s,"0,4,0,0"
Robin Adam,0,None,
they are working,1,are,"0,1,5"
oh Robin is a little boy,1,is,"0,0,1,0,0,0"
you don't like it,1,don't,"0,1,3,0"
why,0,None,
no there's nothing in there,1,s,"0,4,0,0,0"
oh no,0,None,
no that's Urs bag,1,s,"0,4,0,0"
what's in there,1,s,"4,0,0"
no don't take it out,1,don't,"0,1,3,0,0"
I don't know,1,don't,"0,1,3"
you ask Urs,1,ask,"0,1,0"
that's her bag,1,s,"4,0,0"
what are they,1,are,"0,1,0"
gloves,0,None,
you keep that,1,keep,"0,1,0"
you put them on your hand,1,put,"0,1,0,0,0,0"
is that the right one,1,is,"1,0,0,0,0"
you put it on,1,put,"0,1,0,0"
that's a fastener,1,s,"4,0,0"
is that right,1,is,"1,0,0"
no the doggie can't wear gloves,1,can't,"0,0,7,3,0"
he doesn't have fingers,1,doesn't,"0,1,3,0"
no doggie doesn't have fingers,1,doesn't,"0,0,1,3,0"
small doggie,0,None,
he doesn't have fingers either,1,doesn't,"0,1,3,0,0"
he doesn't have fingers,1,doesn't,"0,1,3,0"
no thank you,1,thank,"0,1,0"
well what do you have in the trash can,1,do,"0,0,1,0,3,0,0,0,0"
why don't you put that on the table,1,don't,"0,1,0,3,0,0,0,0"
come take Urs gloves off,1,come,"1,3,0,0,0"
you got them,2,got,"0,2,0"
where did you get them,2,did,"0,2,0,3,0"
from the bag,0,None,
alright put them back,1,put,"0,1,0,0"
Adam you have another one out here,1,have,"0,0,1,0,0,0,0"
Adam what are you doing,1,are,"0,0,1,0,5"
no we don't need our forks,1,don't,"0,0,1,3,0,0"
thank you,1,thank,"1,0"
thank you,1,thank,"1,0"
little what,0,None,
little talk,0,None,
what is that Adam,1,is,"0,1,0,0,"
please,0,None,
maybe she's afraid of doggies,1,s,"0,4,0,0,0"
see what,0,None,
read a magazine,1,read,"1,0,0"
is that what you have a magazine,1,is,"1,0,0,0,1,0,0"
what are you reading in the magazine,1,are,"0,1,0,5,0,0,0"
let me want fork,1,let,"1,0,3,0"
oh that's too much for you to take ,1,s,"0,4,0,0,0,0,0,3"
you're cutting it,1,re,"4,5,0"
no thank you,1,thank,"0,1,0"
what is that,1,is,"0,1,0"
what is that in the bottle,1,is,"0,1,0,0,0,0"
what,0,None,
it's hot,1,s,"4,0"
what's hot,1,s,"4,0"
radiator is hot,1,is,"0,1,0"
bandana belongs to the cowboy,1,belongs,"0,1,0,0,0"
write the name cowboy hat,1,write,"1,0,0,0,0"
what is that that you're writing on,1,is,"0,1,0,0,4,5,0"
you're writing on,1,re,"4,5,0"
tomato,0,None,
oh that's corn,1,s,"0,4,0"
what kind of corn,0,None,
what kind of corn is it,1,is,"0,0,0,0,1,0"
take the pencil out_of your mouth,1,take,"1,0,0,0,0,0,0"
corn on the cob,0,None,
take the pencil out_of your mouth,1,take,"1,0,0,0,0,0,0"
you've finished your corn haven't you,1,ve,"4,8,0,0,8,0"
all_gone,0,None,
no,0,None,
take the pencil out_of your mouth,1,take,"1,0,0,0,0,0,0"
what is that,1,is,"0,1,0"
smoke,0,None,
what kind of smoke is that,1,is,"0,0,0,0,1,0"
you're sitting at the table,1,re,"4,5,0,0,0"
well what kind of smoke is that,1,is,"0,0,0,0,0,1,0"
oh cigarette smoke,0,None,
what,0,None,
what,0,None,
put the pencil right on the table,1,put,"1,0,0,0,0,0,0"
why don't you write a tomato for me,1,don't,"0,1,0,3,0,0,0,0"
okay you draw a cowboy hat,1,draw,"0,0,1,0,0,0"
oh that's a nice cowboy hat,1,s,"0,4,0,0,0,0"
what is in there,1,is,"0,1,0,0"
sauce,0,None,
I'm going to wash his hands and feet,3,m ,"4,5,0,3,0,0,0,0"
come on Adam,1,come,"1,0,0"
Adam,0,None,
leave those mops alone and come out here,1,leave,"1,0,0,0,0,1,0,0"
and come out here,1,come,"0,1,0,0"
no you don't do that on Mommy's rug,1,don't,"0,0,1,3,0,0,0,0"
you're a big boy,1,re,"4,0,0,0"
Adam what about your poor doggies who are sitting out here waiting for you,1,are,"0,0,0,0,0,0,0,1,5,0,0,5,0,0"
what,0,None,
no you don't do that Adam ,1,don't,"0,0,1,3,0,0"
what do you say,1,do ,"0,1,0,3"
excuse me please,1,excuse,"1,0,0"
no where could she go,1,could,"0,0,7,0,3"
where could she sit,1,could,"0,7,0,3"
no,0,None,
yes you sit down there ,1,sit,"0,0,1,0,0"
and read a story to the microphone,1,read,"0,1,0,0,0,0,0"
are you going to listen to a story,3,are,"1,0,5,0,3,0,0,0"
well your story books are out here aren't they,1,are,"0,0,0,0,1,0,0,1,0"
aren't they,1,aren't,"1,0"
oh you're big boy to read that,1,re,"0,4,0,0,0,3,0"
yes that's a nice story too,1,s,"0,4,0,0,0"
oh what about the kitty,0,None,
that's a nice story,1,s,"4,0,0,0"
what's funny,1,s,"4,0"
yes that's a nice story,1,s,"0,4,0,0,0"
where did all the pieces go,2,did,"0,2,0,0,0,3"
you can use the table Adam if you wanna,1,can,"0,7,3,0,0,0,0,0,1"
if you wanna,1,wanna,"0,0,1"
I don't know,1,don't,"0,1,3"
I don't know,1,don't,"0,1,3"
I don't think so,1,don't,"0,1,3,0"
I think he's standing on his feet,1,think,"0,1,4,5,0,0,0"
he's standing on his feet,1,s,"4,5,0,0,0"
you know where he goes not that way,1,know,"0,1,0,0,1,0,0,0"
where he goes not that way,1,goes,"0,0,1,0,0,0"
that goes there doesn't it,1,goes,"0,1,0,1,0"
doesn't it,1,doesn't,"1,0"
I don't think so,1,don't,"0,1,3,0"
faster,0,None,
is it going faster,1,is,"1,0,5,0"
that's her pocketbook,1,s,"4,0,0,"
okay,0,None,
have you seen everything,1,have,"1,0,8,0"
what,0,None,
what is it Adam,1,is,"0,1,0,0"
booking,0,None,5
I don't know,1,don't,"0,1,3"
teaching,0,None,5
oh teasing,0,None,"0,5"
you're teasing Cromer,1,re,"4,5,0"
do you know what this is,1,do,"1,0,3,0,0,1"
what this is,1,is,"0,0,1"
no that's not a car,1,s,"0,4,0,0,0"
pin,0,None,
what kind of pen,0,None,
car,0,None,
what kind of car,0,None,
red car,0,None,
yellow car,0,None,
what do you do with it,1,do,"0,1,0,3,0,0"
where what go,1,go,"0,0,1"
horse,0,None,
did he go to the corral,2,did,"2,0,3,0,0,0"
you're doing tricks,1,re,"4,5,0"
doing tricks,0,None,"5,0"
what kind of tricks,0,None,
chair tricks,0,None,
oh you're laughing,1,re,"0,4,5"
chair tricks,0,None,
do I remember chair tricks,1,do,"1,0,3,0,0"
you're pressing a button,1,re,"4,5,0,0"
and what happens,1,happens,"0,0,1"
to the horse's tail,0,None,
rope tricks,0,None,
oh you fell down on Mommy's floor,2,fell,"0,0,2,0,0,0,0"
no don't throw that,1,don't,"0,1,3,0"
what is it,1,is,"0,1,0"
tricks,0,None,
oh your rope tricks,0,None,
I don't think it will if you put him down there,1,don't,"0,1,3,0,9,0,0,1,0,0,0"
it will if you put him down there,3,will,"0,9,0,0,1,0,0,0"
try him up there,1,try,"1,0,0,0"
well it doesn't really belong there,1,doesn't,"0,0,1,0,3,0"
careful don't hit Ursula with your horse,1,don't,"0,1,3,0,0,0,0"
yes I see,1,see,"0,0,1"
hello,0,None,
I don't know what happened,1,don't,"0,1,3,0,2"
what happened,2,happened,"0,2"
what happened to him,2,happened,"0,2,0,0"
I don't know,1,don't,"0,1,3"
Rusty's down there,1,s,"4,0,0"
cowboy's grass,0,None,
what,0,None,
what,0,None,
what happened,2,happened,"0,2"
oh don't take it from you,1,don't,"0,1,3,0,0,0"
what is it now,1,is,"0,1,0,0"
I don't know,1,don't,"0,1,3"
I don't know,1,don't,"0,1,3"
be quiet,1,be,"3,0"
what are you doing,1,are,"0,1,0,5"
what are you doing,1,are,"0,1,0,5"
what is that,1,is,"0,1,0"
you can't play with that,1,can't,"0,7,3,0,0"
it's a can top,1,s,"4,0,0,0"
strong and healthy,0,None,
what will make you strong and healthy,3,will,"0,9,3,0,0,0,0"
supper,0,None,
what,0,None,
gasoline,0,None,
that's not a rocket,1,s,"4,0,0,0"
that's not a rocket,1,s,"4,0,0,0"
that's a Wheaties box,1,s,"4,0,0,0"
what,0,None,
careful,0,None,
you go over near the door,1,go,"0,1,0,0,0,0"
where did your rocket go,2,did,"0,2,0,0,3"
you got your rocket,2,got,"0,2,0,0"
where are you trying to send your rocket,1,are,"0,1,0,5,0,3,0,0"
to Rusty,0,None,
watch it kids,1,watch,"1,0,0"
no Adam,0,None,
Adam,0,None,
hitting him a little,0,None,"5,0,0,0"
okay well that's enough,1,s,"0,0,4,0"
you might hurt him,1,might,"0,7,3,0"
isn't the rocket heavy,1,isn't,"1,0,0,0"
what kind of flag,0,None,
what,0,None,
Adam don't throw the ball okay,1,don't,"0,1,3,0,0,0"
what's wrong with it,1,s,"4,0,0,0"
oh it's a trailer,1,s,"0,4,0,0"
push Rusty down,1,push,"1,0,0"
go where,1,go,"1,0"
well I can't do that,1,can't,"0,0,7,3,0"
well no I don't think you know how by yourself yet do you,1,don't,"0,0,0,1,3,0,1,0,0,0,0,1,0"
you know how by yourself yet do you,1,know,"0,1,0,0,0,0,1,0"
do you,1,do ,"1,0"
hm,0,None,
what's the trailer doing,1,s,"3,0,0,5"
nothing,0,None,0
watching you,0,None,"5,0"
oh,0,None,
I wouldn't throw my hat,1,wouldn't,"0,7,3,0,0"
careful of the light Adam,0,None,
you fell down,2,fell,"0,2,0"
careful Adam,0,None,
hm,0,None,
be careful,1,be,"3,0"
you're going to leave your horses down there,1,re,"4,5,0,4,0,0,0,0"
yes I'm watching you,1,m,"0,4,5,0"
no Adam you don't climb up there,1,don't,"0,0,0,1,3,0,0"
come down,1,come,"1,0"
no I don't want that book thank you,1,don't,"0,0,1,3,0,0,1,0"
come down or else you can't player over there anymore,1,come,"1,0,0,0,0,7,0,0,0,0,"
or else you can't player over there anymore,1,can't,"0,0,0,7,0,0,0,0"
get down,1,get,"1,0"
I don't know what happened to you,2,don't,"0,1,3,0,2,0,0"
what happened to you,2,happened,"0,2,0,0"
oh what happened to the cowboy,2,happened,"0,0,2,0,0,0"
get what,1,get,"1,0"
get what,1,get,"1,0"
what did you say,2,did,"0,2,0,3"
don't know,1,don't,"1,3"
he doesn't see you putting any boots on,1,doesn't,"0,1,3,0,5,0,0,0"
you aren't putting any boots on,1,aren't,"0,1,5,0,0,0"
Adam you're going to fall,3,re going to,"0,4,5,0,3"
see you what,1,see,"1,0,0"
no it doesn't come out,1,doesn't,"0,0,1,3,0"
it won't come out,3,won't,"0,9,03,0"
may be,1,be,"0,3"
well she needs her pencil,1,needs,"0,0,1,0,0"
do you want a pencil,1,do,"1,0,3,0,0"
here's your pencil over here,1,s,"4,0,0,0,0"
what,0,None,
get out_of the way,1,get,"1,0,0,0,0"
who's in your way,1,s,"4,0,0,0"
that doesn't belong on the floor,1,doesn't,"0,1,3,0,0,0"
ask Ursula what that is,1,ask,"1,0,0,0,1"
what that is,1,is,"0,0,1"
you ask her,1,ask,"0,1,0"
what is it,1,is,"0,1,0"
that's right,1,s,"4,0"
give it back to Ursla,1,give,"1,0,0,0,0"
why don't you ask her what it is,1,don't,"0,1,0,3,0,0,0,1"
that's Urs,1,s,"4,0"
whose,0,None,
I don't think that's yours,1,don't,"0,1,3,4,0"
no let Urs look now Adam,1,let,"0,1,0,3,0,0"
here's your paper and your pencil,1,s,"4,0,0,0,0,0"
g,0,None,
let her finish looking in her pocket book now,1,let,"1,0,3,5,0,0,0,0,0"
who is the somebody,1,is,"0,1,0,0"
Adam wait,1,wait,"0,1,"
oh that's dollar,1,s,"0,4,0"
pay money for what,1,pay,"1,0,0,0"
buy money pay,1,buy,"1,0,1"
pay what,1,pay,"1,0"
this doesn't cut,1,doesn't,"0,1,3"
what are you going to do,3,are you going to ,"0,1,0,5,0,3"
how many are there Adam,1,are,"0,0,1,0,0"
are you going to put them back in the box,3,are you going to ,"1,0,5,0,3,0,0,0,0,0"
oh then put it,1,put,"0,0,1,0"
well you didn't put those in the box,2,didn't,"0,0,2,3,0,0,0,0"
why don't you bring the box over here and count them as you put them in,1,don't,"0,1,0,3,0,0,0,0,0,3,0,0,0,1,0,0"
and count them as you put them in,1,count,"0,1,0,0,0,1,0,0"
what do you do with the pipe,1,do,"0,1,0,3,0,0,0"
sounded like soldier but I don't know,2,sounded,"2,0,0,0,0,1,3"
but I don't know,1,don't,"0,0,1,3"
oh button press,0,None,
oh button on the chair,0,None,
what happens when you press the button,1,happens,"0,1,0,0,1,0,0"
sixteen,0,None,
watch,1,watch,1
got it,2,got,"2,0"
what did you get,2,did,"0,2,0,3"
you caught it,2,caught,"0,2,0"
what did you catch,2,did,"0,2,0,1"
meadow pond,0,None,
oh a meadow pond,0,None,
what about the meadow pond,0,None,
you jumped over it,2,jumped,"0,2,0,0"
I don't think you can jump over the pipe,1,don't,"0,1,3,0,7,3,0,0,0"
you can jump over the pipe,1,can,"0,7,3,0,0,0"
yes you did jump over the pipe didn't you,2,did,"0,0,2,3,0,0,0,2,0"
didn't you,2,didn't,"2,0"
you missed it,2,missed,"0,2,0"
missed it,2,missed,"2,0"
press over the candle maker,1,press,"1,0,0,0,0"
when did you press the button,2,did,"0,2,0,3,0,0"
where were you,2,were,"0,2,0"
when you pressed the button where were you Adam,2,pressed,"0,0,2,0,0,0,2,0,0"
where were you Adam,2,were,"0,2,0,0"
where were you when you pressed the button,2,were,"0,2,0,0,0,2,0,0"
when you pressed the button,2,pressed,"0,0,2,0,0"
what were you riding in,2,were,"0,2,0,5,0"
riding in what,0,None,"5,0,0"
in a what,0,None,
in taxi,0,None,
you dropped a taxi wheel,2,dropped,"0,2,0,0,0"
hm,0,None,
if you like to,1,like,"0,0,1,0"
thank you,1,thank,"1,0"
everybody,0,None,
oh what happened to the taxi wheels,2,happened,"0,0,2,0,0,0,0"
anybody what,0,None,
oh that's for Cromer,1,s,"0,4,0,0"
alright,0,None,
Urs has one,1,has,"0,1,0"
thank you,1,thank,"1,0"
what shall I buy with my dollar,1,shall,"0,7,0,3,0,0,0"
what,0,None,
unicorn,0,None,
I don't know where to find a unicorn,1,don't,"0,1,3,0,0,3,0,0"
well where's your unicorn,1,s,"0,4,0,0"
you took our money ,2,took,"0,2,0,0"
now you hafta give us a unicorn,1,hafta,"0,0,1,3,0,0,0"
hm,0,None,
horsie,0,None,
why I thought you were buying us a unicorn,2,thought,"0,0,2,0,2,5,0,0,0"
you were buying us a unicorn,2,were,"0,2,5,0,0,0"
the unicorn didn't wanna come,2,didn't,"0,0,2,3,3"
what,0,None,
help you reach,1,help,"1,0,3"
that's for the unicorn,1,s,"4,0,0,0"
buy this one,1,buy,"1,0,0"
in it,0,None,
putting them in Rusty's hat,0,None,"5,0,0,0,0"
what happened,2,happened,"0,2"
Rusty didn't want them in his hat,2,didn't,"0,2,3,0,0,0,0"
why are you throwing,1,are,"0,1,0,5"
no Adam what's the matter,1,s,"0,0,4,0,0"
what happened,2,happened,"0,2"
are you tired,1,are,"1,0,0"
what happened,2,happened,"0,2"
what happened,2,happened,"0,2"
no,0,None,
did you ask Urs if she wanted those dollars in her pocket book,2,did,"2,0,3,0,0,0,2,0,0,0,0,0,0"
if she wanted those dollars in her pocket book,2,wanted,"0,0,2,0,0,0,0,0,0"
oh she's going shopping,1,s,"0,3,5,5"
what does she hafta buy,1,does,"0,4,0,3,3,0,0"
money to pay Rusty,0,None,"0,0,3,0"
well what's she hafta pay Rusty for,1,s,"0,2,0,3"
what did he do,2,did,"0,2,0,3"
what did Rusty do,2,did,"0,2,0,3"
well what are you buying,1,are,"0,0,1,0,5"
what did you buy,2,did,"0,2,0,3"
I see you have some crumpled dollars,1,see,"0,1,0,1,0,0,0"
you have some crumpled dollars,1,have,"0,1,0,0,0"
you're going shopping,1,re,"4,5,5"
what did you do with the dollars,2,did,"0,2,0,3,0,0,0"
Adam did you ask Urs ,2,did,"0,2,0,3,0"
if you could go in her bag,2,could,"0,0,7,3,0,0,0"
careful Adam,0,None,
let Urs do it,1,let,"1,0,3,0"
can you put them back in the bag,1,can,"7,0,3,0,0,0,0,0"
don't what Adam,1,don't,"1,0,0"
that goes on your ears and the sound comes through the wires,1,goes,"0,1,0,0,0,0,0,0,1,0,0,0"
and the sound comes through the wires,1,comes,"0,0,0,1,0,0,0"
you plug this in,1,plug,"0,1,0,0"
no Adam,0,None,
we hafta put this up now,1,hafta,"0,1,3,0,0,0"
what do you hear,1,do,"0,1,0,3"
can you hear Urs,1,can,"7,0,3,0"
no you can't,1,can't,"0,0,7"
what,0,None,
Adam,0,None,
throw this way,1,throw,"1,0,0"
no it's not a toy,1,s,"0,4,0,0,0"
over on your chair,0,None,
I don't know what that is,1,don't,"0,1,3,0,0,1"
what that is,1,is,"0,0,1"
what is it,1,is,"0,1,0"
button let you press,1,let,"0,1,0,1"
what,0,None,
a box,0,None,
what,0,None,
Cromer can't change your diaper,1,can't,"0,7,3,0,0"
she can't change your diaper either,1,can't,"0,7,3,0,0,0"
no don't put your foot up there,1,don't,"0,1,3,0,0,0,0"
Urs can't change your diaper like that,1,can't,"0,7,3,0,0,0,0"
do you want me to change your diaper,1,don't,"1,0,3,0,0,3,0,0"
oh you're telling the microphone,1,re,"0,4,5,0,0"
will you ask them to excuse you,3,will,"9,0,3,0,0,3,0"
did he catch you,2,did,"2,0,3,0"
you're playing peekaboo with Cromer,1,re,"4,5,3,0,0"
did he catch you,2,did,"2,0,3,0"
oh you caught him,2,caught,"0,0,2,0"
oh you fell down in the bunkhouse,2,fell,"0,0,2,0,0,0,0"
you fell down with your shoes,2,fell,"0,2,0,0,0,0"
with your shoes,0,None,
what,0,None,
drop it on the point,1,drop,"1,0,0,0,0"
no those are his glasses,1,are,"0,0,1,0,0"
oh there it goes,1,goes,"0,0,0,1"
yes,0,None,
no don't play with glasses,1,don't,"0,1,3,0,0"
do you like grapefruit,1,do,"1,0,3,0"
you like cereal,1,like,"0,1,0"
do you like grapefruit,1,do ,"1,0,3,0"
thank you,1,thank,"1,0"
he dropped his pencil,2,dropped,"1,2,0,0"
yes now you pick it up,1,pick,"0,0,0,1,0,0"
where did it go,2,did,"0,2,0,3"
how many pencils are there,1,are,"0,0,0,1,0"
watch,1,watch,1
who turned around,2,turned,"0,2,0"
you've got a tunnel,1,ve,"4,8,0,0"
sounded like radiator ,2,sounded,"2,0,0"
but maybe he means elevator,1,means,"0,0,0,1,0"
