,Sentence,Tense,Verb,NER Tag
3436,I think this is a car and that must be a policeman,1,think,"0,1,0,1,0,0,0,0,7,3,0,0"
3437,and that must be a policeman,1,must,"0,0,7,3,0,0"
3438,and that's a train,1,s,"0,4,0,0"
3439,hello Adam,0,None,"0,0"
3440,well next to Adam but not on Adam,0,None,"0,0,0,0,0,0,0,0"
3441,next to Adam,0,None,"0,0,0"
3442,next to Adam,0,None,"0,0,0"
3443,that's a tape recorder,1,s,"4,0,0,0"
3444,no,0,None,0
3445,don't take that paper off the film,1,don't,"1,3,0,0,0,0,0"
3446,no,0,None,0
3447,I think perhaps you'd better give it back to Ursula,1,think,"0,1,0,4,0,3,0,0,0,0"
3448,you'd better give it back to Ursula,1,d,"4,0,3,0,0,0,0"
3449,did you say thank you,2,did,"2,0,3,1,0"
3450,ribbon,0,None,0
3451,yes that's film,1,s,"0,4,0"
3452,making what,0,None,"5,0"
3453,making steamshovel,0,None,"5,0"
3454,tape,0,None,0
3455,what about the tape,0,None,"0,0,0,0"
3456,this isn't tape,1,isn't,"0,1,0"
3457,where's the tape,1,s,"4,0,0"
3458,no,0,None,0
3459,you've got what to pick up,1,ve,"4,8,0,0,3,0"
3460,yes,0,None,0
3461,you hafta pick the puzzle up first,1,hafta,"0,1,3,0,0,0,0"
3462,no Adam,0,None,"0,0"
3463,where are you going,1,are,"0,1,0,5"
3464,no,0,None,0
3465,what are you doing,1,are,"0,1,0,5"
3466,turning it,0,None,"5,0"
3467,what,0,None,0
3468,no thank you,1,thank,"0,1,0"
3469,I don't want a piece,1,don't,"0,1,3,0,0"
3470,oh thank you,1,thank,"0,1,0"
3471,where did the scissors go,2,did,"0,2,0,0,3"
3472,Ursula may need that at her work,1,may,"0,7,3,0,0,0,0"
3473,busy bulldozer,0,None,"0,0"
3474,you're going to cut it,1,re,"4,5,0,3,0"
3475,I don't think she likes that little dirty tape there,1,don't,"0,1,3,0,1,0,0,0,0,0"
3476,she likes that little dirty tape there,1,likes,"0,1,0,0,0,0,0"
3477,it may have broken off from this one,1,may,"0,7,3,8,0,0,0,0"
3478,perhaps so,0,None,"0,0"
3479,let me put it in here Adam,1,let,"1,0,3,0,0,0,0"
3480,yes,0,None,0
3481,what will she use for tape if you break that up,3,will,"0,9,0,3,0,0,0,0,1,0,0"
3482,if you break that up,1,break,"0,0,1,0,0"
3483,alright,0,None,0
3484,oh microphone ribbon,0,None,"0,0,0"
3485,why does the microphone need a ribbon,1,does,"0,1,0,0,3,0,0"
3486,I tie it,1,tie,"0,1,0"
3487,you what,0,None,"0,0"
3488,I tie it up,1,tie,"0,1,0,0"
3489,oh you're tying it up,1,re,"0,4,5,0,0"
3490,yes it needs a bib,1,needs,"0,0,1,0,0"
3491,why does the microphone need a bib,1,does,"0,1,0,0,3,0,0"
3492,what are you doing,1,are,"0,1,0,5"
3493,I why are you putting it in there,1,are,"0,0,1,5,0,0,0"
3494,what is that,1,is,"0,1,0"
3495,that's a what,1,s,"4,0,0"
3496,a trash truck,0,None,"0,0,0"
3497,no don't put it on your tricycle Adam,1,don't,"0,1,3,0,0,0,0,0"
3498,oh you're putting some gas in the tricycle,1,re,"0,4,5,0,0,0,0,0"
3499,no Adam,0,None,"0,0"
3500,don't ride with that cord,1,don't,"1,3,0,0,0"
3501,that's part of the tape recorder,1,s,"4,0,0,0,0,0"
3502,oh that's a street broom,1,s,"0,4,0,0,0"
3503,alright but don't play with the cord like that,1,don't,"0,0,1,3,0,0,0,0,0"
3504,no honey,0,None,"0,0"
3505,I'm sorry,1,m,"4,0"
3506,no you can't play with it Adam,1,can't,"0,0,7,3,0,0,0"
3507,let's put the puzzle together,1,let's,"1,3,0,0,0"
3508,poor head,0,None,"0,0"
3509,oh poor head,0,None,"0,0,0"
3510,how's your doggie doing,1,s,"4,0,0,5"
3511,fine thank you,1,thank,"0,1,0"
3512,oh good,0,None,"0,0"
3513,oh the doggie eats breakfast,1,eats,"0,0,0,1,0"
3514,is he eating his breakfast now,1,is,"1,0,5,0,0,0"
3515,what does he have for breakfast,1,does,"0,1,0,3,0,0"
3516,oh he has cereal,1,has,"0,0,1,0"
3517,what kind of cereal,0,None,"0,0,0,0"
3518,he has hot cereal,1,has,"0,1,0,0"
3519,what about your puzzle,0,None,"0,0,0,0"
3520,what,0,None,0
3521,will that fit in there,3,will,"9,0,3,0,0"
3522,want your vitamins,1,want,"1,0,0"
3523,thank you,1,thank,"1,0"
3524,what kinds of vitamins are those,1,are,"0,0,0,0,1,0"
3525,Adam's vitamins,0,None,"0,0"
3526,vitamin Cromer's,0,None,"0,0"
3527,Adam was that vitamin Cromer's,2,was,"0,2,0,0,0"
3528,I need a vitamin too,1,need,"0,1,0,0,0"
3529,what kind of vitamin,0,None,"0,0,0,0"
3530,www,0,None,0
3531,yes,0,None,0
3532,are you going to give it to Ursula,3,are you going to,"1,0,5,0,3,0,0,0"
3533,no not that bag Adam,0,None,"0,0,0,0,0"
3534,please,0,None,0
3535,no,0,None,0
3536,that's his pen,1,s,"4,0,0"
3537,for you,0,None,"0,0"
3538,sting,0,None,0
3539,oh that's an elephant,1,s,"0,4,0,0"
3540,lost a piggie,2,lost,"2,0,0"
3541,what,0,None,0
3542,Perry,0,None,0
3543,grandfather,0,None,0
3544,you're dripping down,1,re,"4,5,0"
3545,at the mouth,0,None,"0,0,0"
3546,Adam did,2,did,"0,2"
3547,airplane,0,None,0
3548,I have one,1,have,"0,1,0"
3549,thank you,1,thank,"1,0"
3550,oh no,0,None,"0,0"
3551,I'd rather write with this one,1,d,"4,0,3,0,0,0"
3552,he's been practicing that,1,s,"4,8,5,0"
3553,he's started being very particular about saying two this or two that,2,started,"4,8,5,0,0,0,5,0,0,0,0,0"
3554,I don't think the doggie wants to write,1,don't,"0,1,3,0,0,1,0,3"
3555,the doggie wants to write,1,wants,"0,0,1,0,3"
3556,I think he's rather have you write,1,think,"0,1,0,3,0,3"
3557,he's rather have you write,1,s,"4,0,3,0,3"
3558,who did that,2,did,"0,2,0"
3559,who did that,2,did,"0,2,0"
3560,I guess Adam did,2,guess,"0,0,0,2"
3561,Adam did,2,did,"0,2"
3562,who did what,2,did,"0,2,0"
3563,that's a can opener,1,s,"4,0,0,0"
3564,did you ask Ursula if you could go in her bag,2,did,"2,0,3,0,0,0,7,3,0,0,0"
3565,if you could go in her bag,2,could,"0,0,7,3,0,0,0"
3566,what,0,None,0
3567,have something on the table that Ursula brought Adam,1,have,"1,0,0,0,0,0,0,2,0"
3568,that Ursula brought Adam,2,brought,"0,0,2,0"
3569,yes it's sitting right there,1,s,"0,4,5,0,0"
3570,okay,0,None,0
3571,you can close it if you want,1,can,"0,7,3,0,0,0,1"
3572,if you want,1,want,"0,0,1"
3573,no,0,None,0
3574,let her write Adam,1,let,"1,0,3,0"
3575,she needs that pencil,1,needs,"0,1,0,0"
3576,where did you put Ursula's other pencil,2,did,"0,2,0,3,0,0,0"
3577,I thought you wanted Ursula to read that,2,thought,"0,2,0,2,0,0,3,0"
3578,you wanted Ursula to read that,2,wanted,"0,2,0,0,3,0"
3579,what,0,None,0
3580,what,0,None,0
3581,just like Adam's ladder,0,None,"0,0,0,0"
3582,this book belongs to,1,belongs,"0,0,1,0"
3583,Adam Smith,0,None,"0,0"
3584,pink,0,None,0
3585,pink as,0,None,"0,0"
3586,pink as,0,None,"0,0"
3587,pink as a,0,None,"0,0,0"
3588,or a baby's nose,0,None,"0,0,0,0"
3589,and it made,2,made,"0,0,2"
3590,orange orange as an orange,0,None,"0,0,0,0,0"
3591,tree,0,None,0
3592,orange as a,0,None,"0,0,0"
3593,orange as the setting,0,None,"0,0,0,0"
3594,sinking,0,None,5
3595,in the,0,None,"0,0"
3596,sea,0,None,0
3597,it didn't make,2,didn't,"0,2,0"
3598,made a deep dark,2,made,"2,0,0,0"
3599,there they are,1,are,"0,0,1"
3600,there is purple,1,is,"0,1,0"
3601,there are the kitties,1,are,"0,1,0,0"
3602,they're sitting at the table,1,re,"4,5,0,0,0"
3603,go,1,go,1
3604,I don't think they went anyplace,1,don't,"0,1,3,0,2,0"
3605,they went anyplace,2,went,"0,2,0"
3606,we read that side,1,read,"0,1,0,0"
3607,they're painting,1,re,"4,5"
3608,brown as a,0,None,"0,0,0"
3609,brown as an old,0,None,"0,0,0,0"
3610,goat,0,None,0
3611,brown as a,0,None,"0,0,0"
3612,that's not bumble bee that's a beaver,1,s,"4,0,0,0,4,0,0"
3613,that's a beaver,1,s,"4,0,0"
3614,brown,0,None,0
3615,the sun went down,2,went,"0,0,2,0"
3616,where does the sun go at night,1,does,"0,1,0,0,3,0,0"
3617,one,0,None,0
3618,two,0,None,0
3619,a world of Easter,0,None,"0,0,0,0"
3620,well I don't think so,1,don't,"0,0,1,3,0"
3621,and the color kittens had,2,had,"0,0,0,0,2"
3622,I just read that,2,read,"0,0,2,0"
3623,you read it to me now,1,read,"0,2,0,0,0,0"
3624,fireman,0,None,0
3625,Bambi,0,None,0
3626,Pinocchio and Jiminy Cricket,0,None,"0,0,0,0"
3627,a bear,0,None,"0,0"
3628,color kittens,0,None,"0,0"
3629,doggie,0,None,0
3630,bear,0,None,0
3631,car,0,None,0
3632,wheel,0,None,0
3633,train,0,None,0
3634,wheel,0,None,0
3635,what's that,1,s,"4,0"
3636,duck,0,None,0
3637,that's the bear riding a unicycle,1,s,"4,0,5,0,0"
3638,Ursula what,0,None,"0,0"
3639,what,0,None,0
3640,still there,0,None,"0,0"
3641,she's still there,1,s,"4,0,0"
3642,yeah Ursula's still there,1,s,"0,4,0,0"
3643,bucket's still there,1,s,"4,0,0"
3644,the color kittens are still there,1,are,"0,0,0,1,0,0"
3645,hat,0,None,0
3646,a bucket of paint,0,None,"0,0,0,0"
3647,color kitten,0,None,"0,0"
3648,it's too small to tie up,1,s,"4,0,0,0,3,0"
3649,why is it too small to tie up,1,is,"0,1,0,0,0,0,3,0"
3650,alright,0,None,0
3651,now it's large enough,1,s,"0,4,0,0"
3652,alright,0,None,0
3653,now it's large enough,1,s,"0,4,0,0"
3654,you wanna get down,1,wanna,"0,1,3,0"
3655,get down,1,get,"1,0"
3656,jump down,1,jump,"1,0"
3657,I don't know what you're saying,1,don't,"0,1,3,0,4,5"
3658,what you're saying,1,re,"0,4,5"
3659,what're you saying,1,re,"4,0,5"
3660,jump down,1,re,"1,0"
3661,what about time,0,None,"0,0,0"
3662,what time,0,None,"0,0"
3663,post office mail,0,None,"0,0,0"
3664,where are you going with Ursula's cup,1,are,"0,1,0,5,0,0,0"
3665,no bring it back,1,bring,"0,1,0,0"
3666,and bring the pencils back too,1,bring,"0,1,0,0,0,0"
3667,where did you put the milk,2,did,"0,2,0,3,0,0"
3668,in the refrigerator so it will be nice and warm,3,will,"0,0,0,0,0,9,3,0,0,0"
3669,what are you doing,1,are,"0,1,0,5"
3670,no he doesn't want the dirty pencil in his mouth,1,doesn't,"0,0,1,3,0,0,0,0,0,0"
3671,it doesn't taste good does it,1,doesn't,"0,1,3,0,1,0"
3672,well why don't you take it out,1,don't,"0,0,1,0,3,0,0"
3673,Adam take the pencil out of your mouth,1,take,"0,1,0,0,0,0,0,0"
3674,what is the pencil,1,is,"0,1,0,0"
3675,what,0,None,0
3676,I think it's either a moustache or a smokestack,1,think,"0,1,4,0,0,0,0,0,0"
3677,it's either a moustache or a smokestack,1,s,"4,0,0,0,0,0,0"
3678,you're going to see the bear,3,re going to,"4,5,0,3,0,0"
3679,take the pencil out of your mouth,1,take,"1,0,0,0,0,0,0"
3680,there isn't milk in here,1,isn't,"0,1,0,0,0"
3681,there's ice in here,1,s,"4,0,0,0"
3682,in the fire,0,None,"0,0,0"
3683,what,0,None,0
3684,for cigarette,0,None,"0,0"
3685,oh thank you,1,thank,"0,1,0"
3686,take it out of your mouth Adam,1,take,"1,0,0,0,0,0,0"
3687,you don't see Cromer smoking do you,1,don't,"0,1,3,0,5,1,0"
3688,to why do you wanna smoke,1,don't,"0,0,1,0,3,3"
3689,do you know whose face that is,1,don't,"1,0,3,0,0,0,1"
3690,whose face is that,1,is,"0,0,1,0"
3691,no,0,None,0
3692,there,0,None,0
3693,who is it,1,is,"0,1,0"
3694,who has a moustache,1,has,"0,1,0,0"
3695,yes the man has a moustache but do you know the man's name,1,has,"0,0,0,1,0,0,0,1,0,3,0,0,0"
3696,but do you know,1,do,"0,1,0,3"
3697,who looks like that,1,looks,"0,1,0,0"
3698,no thank you,1,thank,"0,1,0"
3699,what are you doing now,1,are,"0,1,0,5,0"
3700,that's his hair,1,s,"4,0,0"
3701,mhm,0,None,0
3702,there are his ears,1,are,"0,1,0,0"
3703,two,0,None,0
3704,and two eyes,0,None,"0,0,0"
3705,and a nose,0,None,"0,0,0"
3706,and moustache,0,None,"0,0"
3707,and mouth,0,None,"0,0"
3708,and chin,0,None,"0,0"
3709,and a necktie,0,None,"0,0,0"
3710,and shirt,0,None,"0,0"
3711,now who is it,1,is,"0,0,1,0"
3712,good,0,None,0
3713,Adam's a big boy,1,s,"4,0,0,0"
3714,what,0,None,0
3715,two truck,0,None,"0,0"
3716,like a tow truck,0,None,"0,0,0,0"
3717,oh your tow truck is right there,1,is,"0,0,0,0,1,0,0"
3718,what do you use your tow truck for,1,do,"0,1,0,3,0,0,0,0"
3719,use Alvin's tow truck,1,use,"1,0,0,0"
3720,I thought that was Adam's tow truck,2,thought,"0,2,0,2,0,0,0"
3721,that was Adam's tow truck,2,was,"0,2,0,0,0"
3722,what else,0,None,"0,0"
3723,he doesn't wanna put your dirty cowboy hat on his head,1,doesn't,"0,1,3,3,0,0,0,0,0,0,0"
3724,aren't you ashamed,1,aren't,"1,0,0"
3725,of Daddy,0,None,"0,0"
3726,don't stand up on the chair honey,1,don't,"1,3,0,0,0,0,0"
3727,remember we don't stand up on chairs,1,remember,"1,0,1,3,0,0,0"
3728,we don't stand up on chairs,1,don't,"0,1,3,0,0,0"
3729,we sit down on chairs,1,sit,"0,1,0,0,0"
3730,you don't wanna,1,don't,"0,1,3"
3731,alright,0,None,0
3732,don't tie it up,1,don't,"1,3,0,0"
3733,why don't you pick up Cromer's pen and give it to him before you break it,1,don't,"0,1,0,3,0,0,0,0,3,0,0,0,0,0,3,0"
3734,and give it to him before you break it,1,give,"0,1,0,0,0,0,0,1,0"
3735,it's on the floor,1,s,"4,0,0,0"
3736,what's so funny,1,s,"4,0,0"
3737,that's not football it's basketball,1,s,"4,0,0,4,0"
3738,mhm,0,None,0
3739,basketball,0,None,0
3740,no that's not the moon,1,s,"0,4,0,0,0"
3741,basketball,0,None,0
3742,those are shoes for basketball,1,are,"0,1,0,0,0"
3743,what the men are playing over there,1,are,"0,0,0,1,5,0,0"
3744,trying to get the ball in the basket,0,None,"5,0,3,0,0,0,0,0"
3745,football is when they kick the ball,1,is,"0,1,0,0,1,0,0"
3746,yes that is a train,1,is,"0,0,1,0,0"
3747,no I don't think he's tired,1,don't,"0,0,1,3,4,0"
3748,he's tired,1,s,"4,0"
3749,he has his hand up to his chin,1,has,"0,1,0,0,0,0,0,0"
3750,come on pal,1,come,"1,0,0"
3751,come on pal,1,come,"1,0,0"
3752,a pal,0,None,"0,0"
3753,no,0,None,0
3754,cowboy likes a house,1,likes,"0,1,0,0"
3755,it's a restaurant where you go to eat,1,s,"4,0,0,0,0,1,0,3"
3756,where you go to eat,1,go,"0,0,1,0,3"
3757,yes that's a rooster,1,s,"0,4,0,0"
3758,cock a doodle fresh what,0,None,"0,0,0"
3759,looks like the head of a cow,1,looks,"1,0,0,0,0,0,0"
3760,what,0,None,0
3761,what,0,None,0
3762,basketball,0,None,0
3763,no I don't think he would sleep in a bunkhouse,1,don't,"0,0,1,3,0,7,3,0,0,0"
3764,he would sleep in a bunkhouse,1,would,"0,7,3,0,0,0"
3765,yep he does look like Pappy doesn't he,1,does,"0,0,1,3,0,0,1,0"
3766,a moustache mhm,0,None,"0,0,0"
3767,that's a beard,1,s,"4,0,0"
3768,that's a little one,1,s,"4,0,0,0"
3769,I don't know what kind you'd call that,1,don't,"0,1,3,0,0,4,3,0"
3770,you'd call that,1,d,"4,3,0"
3771,it's right here,1,s,"4,0,0"
3772,you missed what,2,missed,"0,2,0"
3773,what are you looking for,1,are,"0,1,0,5,0"
3774,cowboy's funny,1,s,"4,0"
3775,what are you laughing about,1,are,"0,1,0,5,0"
3776,not on your hat,0,None,"0,0,0,0"
3777,fighting Rin tin tin,0,None,"5,0,0,0"
3778,Rin tin tin is the doggie,1,is,"0,0,0,1,0,0"
3779,the little boy's name is what,1,is,"0,0,0,0,1,0"
3780,no that's the doggie,1,s,"0,4,0,0"
3781,don't fight me,1,don't,"1,3,0"
3782,I don't know,1,don't,"0,1,3"
3783,it's all squashed up,1,s,"4,0,8,0"
3784,I don't recognize it,1,don't,"0,1,3,0"
3785,no Shadow's hat wouldn't look like that,1,wouldn't,"0,4,0,7,3,0,0"
3786,that too small,0,None,"0,0,0"
3787,did you tell Ursula what you did yesterday that was bad,2,did,"2,0,3,0,0,0,2,0,0,2,0"
3788,what you did yesterday that was bad,2,did,"0,0,2,0,0,2,0"
3789,that was bad,2,was,"0,2,0"
3790,what did you get all over your face and hands,2,did,"0,2,0,3,0,0,0,0,0,0"
3791,what was it,2,was,"0,2,0"
3792,medicine yes,0,None,"0,0"
3793,mercurochrome,0,None,0
3794,yes and that was naughty wasn't it,2,was,"0,0,0,2,0,2,0"
3795,wasn't it,2,wasn't,"2,0"
3796,you aren't going to do it again are you,3,aren't going to,"0,1,5,0,3,0,0,1,0"
3797,no,0,None,0
3798,you're sleeping,1,re,"4,5"
3799,oh you're sleeping in the bunkhouse,1,re,"0,4,5,0,0,0"
3800,sleeping on the floor,0,None,"5,0,0,0"
3801,I don't think cowboys sleep in their hats,1,don't,"0,1,3,0,1,0,0,0"
3802,moustache,0,None,0
3803,beard,0,None,0
3804,beard,0,None,0
3805,what is that,1,is,"0,1,0"
3806,do you know what that is,1,do,"1,0,3,0,0,1"
3807,no,0,None,0
3808,that's an eagle,1,s,"4,0,0"
3809,yeah,0,None,0
3810,yes eagles that are alive do fly,1,are,"0,0,0,1,0,1,3"
3811,what about birdies,0,None,"0,0,0"
3812,birdies fly,1,fly,"0,1"
3813,Rin tin tin is a dog and dogs don't fly,1,is,"0,0,0,1,0,0,0,0,1,3"
3814,dogs don't fly,1,don't,"0,1,3"
3815,wait you can't fly either,1,can't,"1,0,7,3,0"
3816,somebody what,0,None,"0,0"
3817,who did what,2,did,"0,2,0"
3818,cowboy did what,2,did,"0,2,0"
3819,did what,2,did,"2,0"
3820,Mommy did what,2,did,"0,2,0"
3821,you're what,1,re,"4,0"
3822,climbing what,0,None,"5,0"
3823,dog missed it,2,missed,"0,2,0"
3824,he changed from a cowboy to a dog,2,changed,"0,2,0,0,0,0,0,0"
3825,where are you going,1,are,"0,1,0,5"
3826,that's no tunnel that's a microphone,1,s,"4,0,0,4,0,0"
3827,that's a microphone,1,s,"4,0,0"
3828,where are you sitting,1,are,"0,1,0,5"
3829,wanna what,1,wanna,"1,0"
3830,he's saying part of his grace,1,s,"4,5,0,0,0,0"
3831,Rin tin tin doesn't have fingers,1,doesn't,"0,0,0,1,3,0"
3832,it's Rusty who has fingers,1,has,"4,0,0,1,0"
3833,Rin tin tin is the dog,1,is,"0,0,0,1,0,0"
3834,what is it,1,is,"0,1,0"
3835,flower it's a mouse,1,s,"0,4,0,0"
3836,do you want me to take it off,1,do,"1,0,3,0,0,3,0,0"
3837,Rusty's hat,0,None,"0,0"
3838,Rin tin tin is the doggie,1,is,"0,0,0,1,0,0"
3839,I don't know,1,don't,"0,1,3"
3840,whose hat is that,1,is,"0,0,1,0"
3841,cowboy hat,0,None,"0,0"
3842,what's the cowboy's name,1,s,"4,0,0,0"
3843,oh the cowboy's named Adam,1,s,"0,0,0,8,0"
3844,you almost ran into Mr Cromer's feet,2,ran,"0,0,2,0,0,0,0"
3845,Adam do you want Mommy to take your cowboy hat and put it up,1,do,"0,1,0,3,0,0,3,0,0,0,0,3,0,0"
3846,you can't play with it anymore until you learn to take care of it,1,can't,"0,7,3,0,0,0,0,0,3,0,3,0,0,0"
3847,until you learn to take care of it,1,learn,"0,0,1,0,3,0,0,0"
3848,what are you doing,1,are,"0,1,0,5"
3849,wanna get back,1,wanna,"1,3,0"
3850,what happened,2,happened,"0,2"
3851,kiss your knee,1,kiss,"1,0,0"
3852,what happened,2,happened,"0,2"
3853,you kiss it,1,kiss,"0,1,0"
3854,you're closer than Mommy,1,re,"4,0,0,0"
3855,feel better,1,feel,"1,0"
3856,can you take it off,1,can,"7,0,3,0,0"
3857,don't fight you,1,don't,"1,3,0"
3858,who's been fighting you,1,s,"4,8,5,0"
3859,oh the cowboy was fighting you,2,was,"0,0,0,2,5,0"
3860,oh the cowboy was fighting Rin tin tin,2,was,"0,0,0,2,5,0,0,0"
3861,cowboy reach,1,reach,"0,1"
3862,no he needs his paper,1,needs,"0,0,1,0,0"
3863,let him give you some paper okay,1,let,"1,0,3,0,0,0,0"
3864,please,0,None,0
3865,who wrote on that,2,wrote,"0,2,0,0"
3866,Cromer did,2,did,"0,2"
3867,do you know what it says,1,do,"1,0,3,0,0,1"
3868,what it says,1,says,"0,0,1"
3869,what does that say,1,does,"0,1,0,3"
3870,well what does that say,1,does,"0,0,1,0,3"
3871,you tell me,1,tell,"0,1,0"
3872,what is that,1,is,"0,1,0"
3873,pencil what,0,None,"0,0"
3874,bring your scissors over to the table,1,bring,"1,0,0,0,0,0,0"
3875,yes,0,None,0
3876,Rin tin tin is a doggie and he can't write,1,is,"0,0,0,1,0,0,0,0,7,3"
3877,he can't write,1,can't,"0,7,3"
3878,oh this is a house,1,is,"0,0,1,0,0"
3879,thank you,1,thank,"1,0"
3880,what a nice house,0,None,"0,0,0,0"
3881,love a what,1,love,"0,0,0"
3882,why not,0,None,"0,0"
3883,for moose,0,None,"0,0"
3884,what moose,0,None,"0,0"
3885,what was that you did,2,was,"0,2,0,0,2"
3886,what are you doing,1,are,"0,1,0,5"
3887,what are you doing,1,are,"0,1,0,5"
3888,what about Daddy coming home,0,None,"0,0,0,5,0"
3889,you'll put the trash in there and Daddy will take it out when he comes home,3,ll,"6,3,0,0,0,0,0,0,9,3,0,0,0,0,1,0"
3890,and Daddy will take it out when he comes home,3,will,"0,0,9,3,0,0,0,0,1,0"
3891,when he comes home,1,comes,"0,0,1,0"
3892,you've got what on,1,ve,"4,8,0,0"
3893,shoes on pants on shirt on,0,None,"0,0,0,0,0,0"
3894,what else,0,None,"0,0"
3895,shoelace,0,None,0
3896,what else,0,None,"0,0"
3897,what else,0,None,"0,0"
3898,Cromer's face,0,None,"0,0"
3899,what else,0,None,"0,0"
3900,no I haven't socks on,1,haven't,"0,0,1,0,0"
3901,Ursula has boots on,1,has,"0,1,0,0"
3902,eyes,0,None,0
3903,how man eyes,0,None,"0,0,0"
3904,four eyes,0,None,"0,0"
3905,how many ears,0,None,"0,0,0"
3906,four ears,0,None,"0,0"
3907,yes how many noses,0,None,"0,0,0,0"
3908,four,0,None,0
3909,how many mouths,0,None,"0,0,0"
3910,pop goes the weasel,1,goes,"0,1,0,0"
3911,ouch,0,None,0
3912,why does Mommy get spanked,1,does,"0,1,0,3,8"
3913,are you Mommy and I'm Adam,1,are,"1,0,0,0,4,0"
3914,and I'm Adam,1,m,"0,4,0"
3915,why are you spanking Adam,1,are,"0,1,0,6,0"
3916,hot,0,None,0
3917,because it's not,1,s,"0,4,0"
3918,house,0,None,0
3919,no,0,None,0
3920,what is that,1,is,"0,1,0"
3921,Shadow did,2,did,"0,2"
3922,alright,0,None,0
3923,well leave the box there and pick the rubber bands up,1,leave,"0,1,0,0,0,0,1,0,0,0,0"
3924,pick the rubber bands up,1,pick,"1,0,0,0,0"
3925,you were sposta pick them up off the floor,2,were,"0,2,8,3,0,0,0,0,0"
3926,and put them in the box,2,put,"0,2,0,0,0,0"
3927,close the box and close the drawer,1,close,"1,0,0,0,1,0,0"
3928,and close the drawer,1,close,"0,1,0,0"
3929,Daddy says to have two minutes,1,says,"0,1,0,3,0,0"
3930,have two minutes to do what,1,have,"1,0,0,0,3,0"
3931,squeaking not squealing,0,None,"5,0,5"
3932,the drawer I guess,1,guess,"0,0,0,1"
3933,well put them in and close the box,1,put,"0,1,0,0,0,1,0,0"
3934,and close the box,1,close,"0,1,0,0"
3935,put them in and close the drawer,1,put,"1,0,0,0,1,0,0"
3936,and close the drawer,1,close,"0,1,0,0"
3937,put the other box down,1,put,"1,0,0,0,0"
3938,that pan yes put it down,1,put,"0,0,0,1,0,0"
3939,that,0,None,0
3940,put that down,1,put,"1,0,0"
3941,what about two minutes,0,None,"0,0,0,0"
3942,why isn't there a house anymore,1,isn't,"0,1,0,0,0,0"
3943,yes I thought you said this was a house,2,thought,"0,0,2,0,2,0,2,0,0"
3944,you said this was a house,2,said,"0,2,0,2,0,0"
3945,this was a house,2,was,"0,2,0,0"
3946,why did you change your mind,2,did,"0,2,0,3,0,0"
3947,no pull the drawer out again and pull the box down,1,pull,"0,1,0,0,0,0,0,1,0,0,0"
3948,and pull the box down,1,pull,"0,1,0,0,0"
3949,two minutes what,0,None,"0,0,0"
3950,what are you doing,1,are,"0,1,0,5"
3951,yes what are you doing,1,are,"0,0,1,0,5"
3952,you're cutting in the trash can,1,re,"4,5,0,0,0,0"
3953,two minutes about what,0,None,"0,0,0,0"
3954,you dropped them on the cowboy's knee,2,dropped,"0,2,0,0,0,0,0"
3955,what did the cowboy do,2,did,"0,2,0,0,3"
3956,harpsichord,0,None,0
3957,the record player's in the kitchen but the harpsichord is out here,1,s,"0,0,4,0,0,0,0,0,0,1,0,0"
3958,but the harpsichord is out here,1,is,"0,0,0,1,0,0"
3959,whose suitcase,0,None,"0,0"
3960,yes the harpsichord record is in the living room,1,is,"0,0,0,0,1,0,0,0,0"
3961,and the record player is in the kitchen,1,is,"0,0,0,0,1,0,0,0"
3962,you know where it went,1,know,"0,1,0,0,2"
3963,where it went,2,went,"0,0,2"
3964,read that,0,None,"0,0"
3965,what does it say,1,does,"0,1,0,3"
3966,oh it says harpsichord,1,says,"0,0,1,0"
3967,how do you spell harpsichord,1,does,"0,1,0,3,0"
3968,oh Daddy's harpsichord,0,None,"0,0,0"
3969,yes you are a big boy,1,are,"0,0,1,0,0,0"
3970,you put all that paper in the trash can for Mommy,1,put,"0,1,0,0,0,0,0,0,0,0,0"
3971,for Daddy,0,None,"0,0"
3972,oh somebody's house,0,None,"0,0,0"
3973,whose house is that,1,is,"0,0,1,0"
3974,you dropped it,2,dropped,"0,2,0"
3975,behind you,0,None,"0,0"
3976,no in front of you,0,None,"0,0,0,0,0"
3977,mhm,0,None,0
3978,two minutes,0,None,"0,0"
3979,no not in that drawer,0,None,"0,0,0,0,0"
3980,what's in there,1,s,"4,0,0"
3981,what about two minutes,0,None,"0,0,0,0"
3982,for two minutes,0,None,"0,0,0"
3983,for doing something naughty he hadta sit on the steps for two minutes,2,hadta,"0,5,0,0,0,2,3,0,0,0,0,0,0"
3984,I don't know,1,don't,"0,1,3"
3985,what is it,1,is,"0,1,0"
3986,cup,0,None,0
3987,those are Daddy's things,1,are,"0,1,0,0"
3988,don't take them out,1,don't,"1,3,0,0"
3989,what was that,2,was,"0,2,0"
3990,oh you're going to put it on your tricycle,3,re going to,"0,4,5,0,3,0,0,0,0"
3991,where are you going to put it,3,are you going to,"0,1,0,5,0,3,0"
3992,oh what does it do,1,does,"0,0,1,0,3"
3993,oh it goes right there,1,goes,"0,0,1,0,0"
3994,you don't care,1,don't,"0,1,3"
3995,why are you putting it there,1,are,"0,1,0,5,0,0"
3996,I don't know,1,don't,"0,1,3"
3997,what does the rubber band do,1,does,"0,1,0,0,0,3"
3998,mhm,0,None,0
