,Sentence,Tense,Verb,NER Tag,encode_sent,POS,TAG
4727,oh then put it,1,put,"0,0,1,0","0, 332, 541, 416, 290, 2","['INTJ', 'ADV', 'VERB', 'PRON']","['UH', 'RB', 'VB', 'PRP']"
4728,well you didn't put those in the box,2,didn't,"0,0,2,0,3,0,0,0,0","0, 492, 273, 611, 309, 416, 594, 318, 272, 901, 2","['INTJ', 'PRON', 'AUX', 'PART', 'VERB', 'DET', 'ADP', 'DET', 'NOUN']","['UH', 'PRP', 'VBD', 'RB', 'VB', 'DT', 'IN', 'DT', 'NN']"
4729,why don't you bring the box over here and count them as you put them in,1,don't,"0,1,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0","0, 601, 358, 309, 273, 1114, 272, 901, 521, 402, 329, 1512, 495, 616, 273, 416, 495, 318, 2","['ADV', 'AUX', 'PART', 'PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'ADV', 'CCONJ', 'VERB', 'PRON', 'SCONJ', 'PRON', 'VERB', 'PRON', 'ADP']","['WRB', 'VBP', 'RB', 'PRP', 'VB', 'DT', 'NN', 'RB', 'RB', 'CC', 'VB', 'PRP', 'IN', 'PRP', 'VBP', 'PRP', 'IN']"
4730,and count them as you put them in,1,count,"0,1,0,0,0,1,0,0","0, 347, 1512, 495, 616, 273, 416, 495, 318, 2","['CCONJ', 'VERB', 'PRON', 'SCONJ', 'PRON', 'VERB', 'PRON', 'ADP']","['CC', 'VB', 'PRP', 'IN', 'PRP', 'VBP', 'PRP', 'IN']"
4731,what do you do with the pipe,1,do,"0,1,0,3,0,0,0","0, 312, 299, 273, 299, 392, 272, 2872, 2","['PRON', 'AUX', 'PRON', 'AUX', 'ADP', 'DET', 'NOUN']","['WP', 'VBP', 'PRP', 'VB', 'IN', 'DT', 'NN']"
4732,sounded like soldier but I don't know,2,sounded,"2,0,0,0,0,1,0,3","0, 13448, 349, 7914, 493, 322, 358, 309, 378, 2","['VERB', 'SCONJ', 'NOUN', 'CCONJ', 'PRON', 'AUX', 'PART', 'VERB']","['VBD', 'IN', 'NN', 'CC', 'PRP', 'VBP', 'RB', 'VB']"
4733,but I don't know,1,don't,"0,0,1,0,3","0, 545, 322, 358, 309, 378, 2","['CCONJ', 'PRON', 'AUX', 'PART', 'VERB']","['CC', 'PRP', 'VBP', 'RB', 'VB']"
4734,oh button press,0,None,"0,0,0","0, 332, 1845, 3480, 2","['INTJ', 'PROPN', 'PROPN']","['UH', 'NNP', 'NNP']"
4735,oh button on the chair,0,None,"0,0,0,0,0","0, 332, 1845, 307, 272, 910, 2","['INTJ', 'VERB', 'ADP', 'DET', 'NOUN']","['UH', 'VB', 'IN', 'DT', 'NN']"
4736,what happens when you press the button,1,happens,"0,1,0,0,1,0,0","0, 312, 1590, 536, 273, 3480, 272, 1845, 2","['PRON', 'VERB', 'ADV', 'PRON', 'VERB', 'DET', 'NOUN']","['WP', 'VBZ', 'WRB', 'PRP', 'VBP', 'DT', 'NN']"
4737,sixteen,0,None,0,"0, 9820, 2",['NUM'],['CD']
4738,watch,1,watch,1,"0, 1222, 2",['VERB'],['VB']
4739,got it,2,got,"2,0","0, 1146, 290, 2","['VERB', 'PRON']","['VBD', 'PRP']"
4740,what did you get,2,did,"0,2,0,3","0, 312, 407, 273, 394, 2","['PRON', 'AUX', 'PRON', 'AUX']","['WP', 'VBD', 'PRP', 'VB']"
4741,you caught it,2,caught,"0,2,0","0, 266, 2583, 290, 2","['PRON', 'VERB', 'PRON']","['PRP', 'VBD', 'PRP']"
4742,what did you catch,2,did,"0,2,0,1","0, 312, 407, 273, 1514, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBD', 'PRP', 'VB']"
4743,meadow pond,0,None,"0,0","0, 28679, 3201, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
4744,oh a meadow pond,0,None,"0,0,0,0","0, 332, 265, 8651, 3201, 2","['INTJ', 'DET', 'PROPN', 'NOUN']","['UH', 'DT', 'NNP', 'NN']"
4745,what about the meadow pond,0,None,"0,0,0,0,0","0, 312, 482, 272, 8651, 3201, 2","['PRON', 'ADP', 'DET', 'PROPN', 'PROPN']","['WP', 'IN', 'DT', 'NNP', 'NNP']"
4746,you jumped over it,2,jumped,"0,2,0,0","0, 266, 3036, 521, 290, 2","['PRON', 'VERB', 'ADP', 'PRON']","['PRP', 'VBD', 'IN', 'PRP']"
4747,I don't think you can jump over the pipe,1,don't,"0,1,0,3,0,7,3,0,0,0","0, 45, 358, 309, 399, 273, 377, 1155, 521, 272, 2872, 2","['PRON', 'AUX', 'PART', 'VERB', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN']","['PRP', 'VBP', 'RB', 'VB', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN']"
4748,you can jump over the pipe,1,can,"0,7,3,0,0,0","0, 266, 377, 1155, 521, 272, 2872, 2","['PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN']"
4749,yes you did jump over the pipe didn't you,2,did,"0,0,2,3,0,0,0,2,0,0","0, 506, 273, 407, 1155, 521, 272, 2872, 611, 309, 273, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'AUX', 'PART', 'PRON']","['UH', 'PRP', 'VBD', 'VB', 'IN', 'DT', 'NN', 'VBD', 'RB', 'PRP']"
4750,didn't you,2,didn't,"2,0,0","0, 2294, 309, 273, 2","['AUX', 'PART', 'PRON']","['VBD', 'RB', 'PRP']"
4751,you missed it,2,missed,"0,2,0","0, 266, 2671, 290, 2","['PRON', 'VERB', 'PRON']","['PRP', 'VBD', 'PRP']"
4752,missed it,2,missed,"2,0","0, 13144, 290, 2","['VERB', 'PRON']","['VBD', 'PRP']"
4753,press over the candle maker,1,press,"1,0,0,0,0","0, 4354, 521, 272, 5097, 8852, 2","['NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']","['NN', 'IN', 'DT', 'NN', 'NN']"
4754,when did you press the button,2,did,"0,2,0,3,0,0","0, 952, 407, 273, 3480, 272, 1845, 2","['ADV', 'AUX', 'PRON', 'VERB', 'DET', 'NOUN']","['WRB', 'VBD', 'PRP', 'VB', 'DT', 'NN']"
4755,where were you,2,were,"0,2,0","0, 442, 623, 273, 2","['ADV', 'AUX', 'PRON']","['WRB', 'VBD', 'PRP']"
4756,when you pressed the button where were you Adam,2,pressed,"0,0,2,0,0,0,2,0,0","0, 952, 273, 11122, 272, 1845, 605, 623, 273, 1834, 2","['ADV', 'PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'AUX', 'PRON', 'PROPN']","['WRB', 'PRP', 'VBD', 'DT', 'NN', 'WRB', 'VBD', 'PRP', 'NNP']"
4757,where were you Adam,2,were,"0,2,0,0","0, 442, 623, 273, 1834, 2","['ADV', 'AUX', 'PRON', 'PROPN']","['WRB', 'VBD', 'PRP', 'NNP']"
4758,where were you when you pressed the button,2,were,"0,2,0,0,0,2,0,0","0, 442, 623, 273, 536, 273, 11122, 272, 1845, 2","['ADV', 'AUX', 'PRON', 'ADV', 'PRON', 'VERB', 'DET', 'NOUN']","['WRB', 'VBD', 'PRP', 'WRB', 'PRP', 'VBD', 'DT', 'NN']"
4759,when you pressed the button,2,pressed,"0,0,2,0,0","0, 952, 273, 11122, 272, 1845, 2","['ADV', 'PRON', 'VERB', 'DET', 'NOUN']","['WRB', 'PRP', 'VBD', 'DT', 'NN']"
4760,what were you riding in,2,were,"0,2,0,5,0","0, 312, 623, 273, 2960, 318, 2","['PRON', 'AUX', 'PRON', 'VERB', 'ADP']","['WP', 'VBD', 'PRP', 'VBG', 'IN']"
4761,riding in what,0,None,"5,0,0","0, 10549, 318, 339, 2","['VERB', 'ADP', 'PRON']","['VBG', 'IN', 'WP']"
4762,in a what,0,None,"0,0,0","0, 268, 265, 339, 2","['ADP', 'DET', 'PRON']","['IN', 'DT', 'WP']"
4763,in taxi,0,None,"0,0","0, 268, 7931, 2","['ADP', 'NOUN']","['IN', 'NN']"
4764,you dropped a taxi wheel,2,dropped,"0,2,0,0,0","0, 266, 2319, 265, 7931, 2381, 2","['PRON', 'VERB', 'DET', 'NOUN', 'NOUN']","['PRP', 'VBD', 'DT', 'NN', 'NN']"
4765,hm,0,None,0,"0, 429, 2",['INTJ'],['UH']
4766,if you like to,1,like,"0,0,1,0","0, 426, 273, 349, 302, 2","['SCONJ', 'PRON', 'VERB', 'ADP']","['IN', 'PRP', 'VBP', 'IN']"
4767,thank you,1,thank,"1,0","0, 764, 273, 2","['VERB', 'PRON']","['VBP', 'PRP']"
4768,everybody,0,None,0,"0, 3151, 2",['PRON'],['NN']
4769,oh what happened to the taxi wheels,2,happened,"0,0,2,0,0,0,0","0, 332, 339, 917, 302, 272, 7931, 2485, 2","['INTJ', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN']","['UH', 'WP', 'VBD', 'IN', 'DT', 'NN', 'NNS']"
4770,anybody what,0,None,"0,0","0, 3802, 339, 2","['PRON', 'PRON']","['NN', 'WP']"
4771,oh that's for Cromer,1,s,"0,0,4,0,0","0, 332, 296, 279, 397, 4552, 2","['INTJ', 'DET', 'AUX', 'ADP', 'PROPN']","['UH', 'DT', 'VBZ', 'IN', 'NNP']"
4772,alright,0,None,0,"0, 671, 2",['INTJ'],['UH']
4773,Urs has one,1,has,"0,1,0","0, 10528, 606, 383, 2","['PROPN', 'AUX', 'NUM']","['NNP', 'VBZ', 'CD']"
4774,thank you,1,thank,"1,0","0, 764, 273, 2","['VERB', 'PRON']","['VBP', 'PRP']"
4775,what shall I buy with my dollar,1,shall,"0,7,0,3,0,0,0","0, 312, 2117, 322, 1264, 392, 510, 3247, 2","['PRON', 'VERB', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN']","['WP', 'MD', 'PRP', 'VB', 'IN', 'PRP$', 'NN']"
4776,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4777,unicorn,0,None,"0,0,0","0, 421, 336, 737, 2",['PROPN'],['NNP']
4778,I don't know where to find a unicorn,1,don't,"0,1,0,3,0,0,3,0,0","0, 45, 358, 309, 378, 605, 302, 804, 265, 11316, 2","['PRON', 'AUX', 'PART', 'VERB', 'ADV', 'PART', 'VERB', 'DET', 'NOUN']","['PRP', 'VBP', 'RB', 'VB', 'WRB', 'TO', 'VB', 'DT', 'NN']"
4779,well where's your unicorn,1,s,"0,0,4,0,0","0, 492, 605, 279, 345, 11316, 2","['INTJ', 'ADV', 'AUX', 'DET', 'NOUN']","['UH', 'WRB', 'VBZ', 'PRP$', 'NN']"
4780,you took our money,2,took,"0,2,0,0","0, 266, 1297, 874, 1333, 2","['PRON', 'VERB', 'DET', 'NOUN']","['PRP', 'VBD', 'PRP$', 'NN']"
4781,now you hafta give us a unicorn,1,hafta,"0,0,1,3,0,0,0","0, 330, 273, 586, 683, 715, 265, 11316, 2","['ADV', 'PRON', 'NOUN', 'VERB', 'PRON', 'DET', 'NOUN']","['RB', 'PRP', 'NNS', 'VBP', 'PRP', 'DT', 'NN']"
4782,hm,0,None,0,"0, 429, 2",['INTJ'],['UH']
4783,horsie,0,None,0,"0, 4797, 2",['PROPN'],['NNP']
4784,why I thought you were buying us a unicorn,2,thought,"0,0,2,0,2,5,0,0,0","0, 601, 322, 1006, 273, 623, 4720, 715, 265, 11316, 2","['ADV', 'PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'PRON', 'DET', 'NOUN']","['WRB', 'PRP', 'VBD', 'PRP', 'VBD', 'VBG', 'PRP', 'DT', 'NN']"
4785,you were buying us a unicorn,2,were,"0,2,5,0,0,0","0, 266, 623, 4720, 715, 265, 11316, 2","['PRON', 'AUX', 'VERB', 'PRON', 'DET', 'NOUN']","['PRP', 'VBD', 'VBG', 'PRP', 'DT', 'NN']"
4786,the unicorn didn't wanna come,2,didn't,"0,0,2,0,3,3","0, 321, 11316, 611, 309, 423, 553, 2","['DET', 'PROPN', 'AUX', 'PART', 'PROPN', 'VERB']","['DT', 'NNP', 'VBD', 'RB', 'NNP', 'VB']"
4787,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4788,help you reach,1,help,"1,0,3","0, 2735, 273, 2376, 2","['VERB', 'PRON', 'VERB']","['VB', 'PRP', 'VB']"
4789,that's for the unicorn,1,s,"0,4,0,0,0","0, 363, 279, 397, 272, 11316, 2","['DET', 'AUX', 'ADP', 'DET', 'NOUN']","['DT', 'VBZ', 'IN', 'DT', 'NN']"
4790,buy this one,1,buy,"1,0,0","0, 8886, 346, 383, 2","['VERB', 'DET', 'NOUN']","['VB', 'DT', 'NN']"
4791,in it,0,None,"0,0","0, 268, 290, 2","['ADP', 'PRON']","['IN', 'PRP']"
4792,putting them in Rusty's hat,0,None,"5,0,0,0,0,0","0, 6039, 495, 318, 15693, 279, 978, 2","['VERB', 'PRON', 'ADP', 'PROPN', 'PART', 'NOUN']","['VBG', 'PRP', 'IN', 'NNP', 'POS', 'NN']"
4793,what happened,2,happened,"0,2","0, 312, 917, 2","['PRON', 'VERB']","['WP', 'VBD']"
4794,Rusty didn't want them in his hat,2,didn't,"0,2,0,3,0,0,0,0","0, 21624, 611, 309, 427, 495, 318, 505, 978, 2","['PROPN', 'AUX', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN']","['NNP', 'VBD', 'RB', 'VB', 'PRP', 'IN', 'PRP$', 'NN']"
4795,why are you throwing,1,are,"0,1,0,5","0, 601, 385, 273, 3413, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBP', 'PRP', 'VBG']"
4796,no Adam what's the matter,1,s,"0,0,0,4,0,0","0, 286, 1834, 339, 279, 272, 1575, 2","['DET', 'PROPN', 'PRON', 'AUX', 'DET', 'NOUN']","['DT', 'NNP', 'WP', 'VBZ', 'DT', 'NN']"
4797,what happened,2,happened,"0,2","0, 312, 917, 2","['PRON', 'VERB']","['WP', 'VBD']"
4798,are you tired,1,are,"1,0,0","0, 472, 273, 1516, 2","['AUX', 'PRON', 'ADJ']","['VBP', 'PRP', 'JJ']"
4799,what happened,2,happened,"0,2","0, 312, 917, 2","['PRON', 'VERB']","['WP', 'VBD']"
4800,what happened,2,happened,"0,2","0, 312, 917, 2","['PRON', 'VERB']","['WP', 'VBD']"
4801,no,0,None,0,"0, 286, 2",['INTJ'],['UH']
4802,did you ask Urs if she wanted those dollars in her pocket book,2,did,"2,0,3,0,0,0,2,0,0,0,0,0,0","0, 546, 273, 1263, 2937, 518, 404, 1370, 594, 2738, 318, 470, 2560, 523, 2","['AUX', 'PRON', 'VERB', 'PROPN', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']","['VBD', 'PRP', 'VB', 'NNP', 'IN', 'PRP', 'VBD', 'DT', 'NNS', 'IN', 'PRP$', 'NN', 'NN']"
4803,if she wanted those dollars in her pocket book,2,wanted,"0,0,2,0,0,0,0,0,0","0, 426, 404, 1370, 594, 2738, 318, 470, 2560, 523, 2","['SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']","['IN', 'PRP', 'VBD', 'DT', 'NNS', 'IN', 'PRP$', 'NN', 'NN']"
4804,oh she's going shopping,1,s,"0,0,4,5,5","0, 332, 404, 279, 497, 3130, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'VERB']","['UH', 'PRP', 'VBZ', 'VBG', 'VBG']"
4805,what does she hafta buy,1,does,"0,1,0,3,3","0, 312, 462, 404, 586, 1264, 2","['PRON', 'AUX', 'PRON', 'NOUN', 'VERB']","['WP', 'VBZ', 'PRP', 'NNS', 'VB']"
4806,money to pay Rusty,0,None,"0,0,3,0","0, 7330, 302, 2256, 15693, 2","['NOUN', 'PART', 'VERB', 'PROPN']","['NN', 'TO', 'VB', 'NNP']"
4807,well what's she hafta pay Rusty for,1,s,"0,0,4,0,3,3,0,0","0, 492, 339, 279, 404, 586, 2256, 15693, 397, 2","['INTJ', 'PRON', 'AUX', 'PRON', 'NOUN', 'VERB', 'PROPN', 'ADP']","['UH', 'WP', 'VBZ', 'PRP', 'NNS', 'VBP', 'NNP', 'IN']"
4808,what did he do,2,did,"0,2,0,3","0, 312, 407, 301, 299, 2","['PRON', 'AUX', 'PRON', 'AUX']","['WP', 'VBD', 'PRP', 'VB']"
4809,what did Rusty do,2,did,"0,2,0,3","0, 312, 407, 15693, 299, 2","['PRON', 'AUX', 'PROPN', 'AUX']","['WP', 'VBD', 'NNP', 'VB']"
4810,well what are you buying,1,are,"0,0,1,0,5","0, 492, 339, 385, 273, 4720, 2","['INTJ', 'PRON', 'AUX', 'PRON', 'VERB']","['UH', 'WP', 'VBP', 'PRP', 'VBG']"
4811,what did you buy,2,did,"0,2,0,3","0, 312, 407, 273, 1264, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBD', 'PRP', 'VB']"
4812,I see you have some crumpled dollars,1,see,"0,1,0,1,0,0,0","0, 45, 384, 273, 381, 430, 17053, 2738, 2","['PRON', 'VERB', 'PRON', 'AUX', 'DET', 'VERB', 'NOUN']","['PRP', 'VBP', 'PRP', 'VBP', 'DT', 'VBN', 'NNS']"
4813,you have some crumpled dollars,1,have,"0,1,0,0,0","0, 266, 381, 430, 17053, 2738, 2","['PRON', 'AUX', 'DET', 'VERB', 'NOUN']","['PRP', 'VBP', 'DT', 'VBN', 'NNS']"
4814,you're going shopping,1,re,"0,4,5,5","0, 266, 375, 497, 3130, 2","['PRON', 'AUX', 'VERB', 'VERB']","['PRP', 'VBP', 'VBG', 'VBG']"
4815,what did you do with the dollars,2,did,"0,2,0,3,0,0,0","0, 312, 407, 273, 299, 392, 272, 2738, 2","['PRON', 'AUX', 'PRON', 'AUX', 'ADP', 'DET', 'NOUN']","['WP', 'VBD', 'PRP', 'VB', 'IN', 'DT', 'NNS']"
4816,Adam did you ask Urs,2,did,"0,2,0,3,0","0, 2637, 407, 273, 1263, 2937, 2","['PROPN', 'AUX', 'PRON', 'VERB', 'PROPN']","['NNP', 'VBD', 'PRP', 'VB', 'NNP']"
4817,if you could go in her bag,2,could,"0,0,7,3,0,0,0","0, 426, 273, 658, 316, 318, 470, 1400, 2","['SCONJ', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN']","['IN', 'PRP', 'MD', 'VB', 'IN', 'PRP$', 'NN']"
4818,careful Adam,0,None,"0,0","0, 2041, 1834, 2","['ADJ', 'PROPN']","['JJ', 'NNP']"
4819,let Urs do it,1,let,"1,0,3,0","0, 489, 2937, 299, 290, 2","['VERB', 'PROPN', 'AUX', 'PRON']","['VB', 'NNP', 'VB', 'PRP']"
4820,can you put them back in the bag,1,can,"7,0,3,0,0,0,0,0","0, 473, 273, 416, 495, 511, 318, 272, 1400, 2","['VERB', 'PRON', 'VERB', 'PRON', 'ADV', 'ADP', 'DET', 'NOUN']","['MD', 'PRP', 'VB', 'PRP', 'RB', 'IN', 'DT', 'NN']"
4821,don't what Adam,1,don't,"1,0,0,0","0, 629, 309, 339, 1834, 2","['AUX', 'PART', 'PRON', 'PROPN']","['VB', 'RB', 'WP', 'NNP']"
4822,that goes on your ears and the sound comes through the wires,1,goes,"0,1,0,0,0,0,0,0,1,0,0,0","0, 363, 759, 307, 345, 1696, 329, 272, 1171, 1117, 824, 272, 4956, 2","['DET', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']","['DT', 'VBZ', 'IN', 'PRP$', 'NNS', 'CC', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'NNS']"
4823,and the sound comes through the wires,1,comes,"0,0,0,1,0,0,0","0, 347, 272, 1171, 1117, 824, 272, 4956, 2","['CCONJ', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']","['CC', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'NNS']"
4824,you plug this in,1,plug,"0,1,0,0","0, 266, 5644, 346, 318, 2","['PRON', 'VERB', 'DET', 'ADP']","['PRP', 'VBP', 'DT', 'IN']"
4825,no Adam,0,None,"0,0","0, 286, 1834, 2","['DET', 'PROPN']","['DT', 'NNP']"
4826,we hafta put this up now,1,hafta,"0,1,3,0,0,0","0, 379, 586, 416, 346, 403, 508, 2","['PRON', 'NOUN', 'VERB', 'DET', 'ADP', 'ADV']","['PRP', 'NNS', 'VBD', 'DT', 'RP', 'RB']"
4827,what do you hear,1,do,"0,1,0,3","0, 312, 299, 273, 960, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VB']"
4828,can you hear Urs,1,can,"7,0,3,0","0, 473, 273, 960, 2937, 2","['VERB', 'PRON', 'VERB', 'PROPN']","['MD', 'PRP', 'VB', 'NNP']"
4829,no you can't,1,can't,"0,0,7,0","0, 286, 273, 377, 309, 2","['INTJ', 'PRON', 'VERB', 'PART']","['UH', 'PRP', 'MD', 'RB']"
4830,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4831,Adam,0,None,0,"0, 2637, 2",['PROPN'],['NNP']
4832,throw this way,1,throw,"1,0,0","0, 2187, 346, 656, 2","['VERB', 'DET', 'NOUN']","['VB', 'DT', 'NN']"
4833,no it's not a toy,1,s,"0,0,4,0,0,0","0, 286, 290, 279, 419, 265, 1208, 2","['INTJ', 'PRON', 'AUX', 'PART', 'DET', 'NOUN']","['UH', 'PRP', 'VBZ', 'RB', 'DT', 'NN']"
4834,over on your chair,0,None,"0,0,0,0","0, 2083, 307, 345, 910, 2","['ADV', 'ADP', 'DET', 'NOUN']","['RB', 'IN', 'PRP$', 'NN']"
4835,I don't know what that is,1,don't,"0,1,0,3,0,0,1","0, 45, 358, 309, 378, 339, 296, 328, 2","['PRON', 'AUX', 'PART', 'VERB', 'PRON', 'DET', 'AUX']","['PRP', 'VBP', 'RB', 'VB', 'WP', 'DT', 'VBZ']"
4836,what that is,1,is,"0,0,1","0, 312, 296, 328, 2","['PRON', 'DET', 'AUX']","['WP', 'DT', 'VBZ']"
4837,what is it,1,is,"0,1,0","0, 312, 328, 290, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'PRP']"
4838,button let you press,1,let,"0,1,0,1","0, 7206, 538, 273, 3480, 2","['NOUN', 'VERB', 'PRON', 'VERB']","['NN', 'VB', 'PRP', 'VB']"
4839,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4840,a box,0,None,"0,0","0, 69, 901, 2","['DET', 'NOUN']","['DT', 'NN']"
4841,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4842,Cromer can't change your diaper,1,can't,"0,7,0,3,0,0","0, 9501, 377, 309, 1832, 345, 1780, 2","['PROPN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN']","['NNP', 'MD', 'RB', 'VB', 'PRP$', 'NN']"
4843,she can't change your diaper either,1,can't,"0,7,0,3,0,0,0","0, 531, 377, 309, 1832, 345, 1780, 1539, 2","['PRON', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADV']","['PRP', 'MD', 'RB', 'VB', 'PRP$', 'NN', 'RB']"
4844,no don't put your foot up there,1,don't,"0,1,0,3,0,0,0,0","0, 286, 358, 309, 416, 345, 986, 403, 386, 2","['INTJ', 'AUX', 'PART', 'VERB', 'DET', 'NOUN', 'ADV', 'ADV']","['UH', 'VBP', 'RB', 'VB', 'PRP$', 'NN', 'RB', 'RB']"
4845,Urs can't change your diaper like that,1,can't,"0,7,0,3,0,0,0,0","0, 10528, 377, 309, 1832, 345, 1780, 349, 296, 2","['PROPN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET']","['NNP', 'MD', 'RB', 'VB', 'PRP$', 'NN', 'IN', 'DT']"
4846,do you want me to change your diaper,1,don't,"1,0,3,0,0,3,0,0","0, 410, 273, 427, 376, 302, 1832, 345, 1780, 2","['AUX', 'PRON', 'VERB', 'PRON', 'PART', 'VERB', 'DET', 'NOUN']","['VBP', 'PRP', 'VB', 'PRP', 'TO', 'VB', 'PRP$', 'NN']"
4847,oh you're telling the microphone,1,re,"0,0,4,5,0,0","0, 332, 273, 375, 2422, 272, 2077, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN']","['UH', 'PRP', 'VBP', 'VBG', 'DT', 'NN']"
4848,will you ask them to excuse you,3,will,"9,0,3,0,0,3,0","0, 1877, 273, 1263, 495, 302, 3229, 273, 2","['VERB', 'PRON', 'VERB', 'PRON', 'PART', 'VERB', 'PRON']","['MD', 'PRP', 'VB', 'PRP', 'TO', 'VB', 'PRP']"
4849,did he catch you,2,did,"2,0,3,0","0, 546, 301, 1514, 273, 2","['AUX', 'PRON', 'VERB', 'PRON']","['VBD', 'PRP', 'VB', 'PRP']"
4850,you're playing peekaboo with Cromer,1,re,"0,4,5,3,0,0","0, 266, 375, 1124, 1969, 392, 4552, 2","['PRON', 'AUX', 'VERB', 'NOUN', 'ADP', 'PROPN']","['PRP', 'VBP', 'VBG', 'NN', 'IN', 'NNP']"
4851,did he catch you,2,did,"2,0,3,0","0, 546, 301, 1514, 273, 2","['AUX', 'PRON', 'VERB', 'PRON']","['VBD', 'PRP', 'VB', 'PRP']"
4852,oh you caught him,2,caught,"0,0,2,0","0, 332, 273, 2583, 502, 2","['INTJ', 'PRON', 'VERB', 'PRON']","['UH', 'PRP', 'VBD', 'PRP']"
4853,oh you fell down in the bunkhouse,2,fell,"0,0,2,0,0,0,0","0, 332, 273, 1334, 483, 318, 272, 17998, 2","['INTJ', 'PRON', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN']","['UH', 'PRP', 'VBD', 'RP', 'IN', 'DT', 'NN']"
4854,you fell down with your shoes,2,fell,"0,2,0,0,0,0","0, 266, 1334, 483, 392, 345, 1112, 2","['PRON', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN']","['PRP', 'VBD', 'RP', 'IN', 'PRP$', 'NNS']"
4855,with your shoes,0,None,"0,0,0","0, 1286, 345, 1112, 2","['ADP', 'DET', 'NOUN']","['IN', 'PRP$', 'NNS']"
4856,what,0,None,0,"0, 312, 2",['PRON'],['WP']
4857,drop it on the point,1,drop,"1,0,0,0,0","0, 6425, 290, 307, 272, 2201, 2","['VERB', 'PRON', 'ADP', 'DET', 'NOUN']","['VB', 'PRP', 'IN', 'DT', 'NN']"
4858,no those are his glasses,1,are,"0,0,1,0,0","0, 286, 594, 385, 505, 2318, 2","['INTJ', 'DET', 'AUX', 'DET', 'NOUN']","['UH', 'DT', 'VBP', 'PRP$', 'NNS']"
4859,oh there it goes,1,goes,"0,0,0,1","0, 332, 386, 290, 759, 2","['INTJ', 'ADV', 'PRON', 'VERB']","['UH', 'RB', 'PRP', 'VBZ']"
4860,yes,0,None,0,"0, 506, 2",['INTJ'],['UH']
4861,no don't play with glasses,1,don't,"0,1,0,3,0,0","0, 286, 358, 309, 465, 392, 2318, 2","['INTJ', 'AUX', 'PART', 'VERB', 'ADP', 'NOUN']","['UH', 'VBP', 'RB', 'VB', 'IN', 'NNS']"
4862,do you like grapefruit,1,do,"1,0,3,0","0, 410, 273, 349, 8595, 2","['AUX', 'PRON', 'VERB', 'PROPN']","['VBP', 'PRP', 'VB', 'NNP']"
4863,you like cereal,1,like,"0,1,0","0, 266, 349, 1863, 2","['PRON', 'SCONJ', 'NOUN']","['PRP', 'IN', 'NN']"
4864,do you like grapefruit,1,do,"1,0,3,0","0, 410, 273, 349, 8595, 2","['AUX', 'PRON', 'VERB', 'PROPN']","['VBP', 'PRP', 'VB', 'NNP']"
4865,thank you,1,thank,"1,0","0, 764, 273, 2","['VERB', 'PRON']","['VBP', 'PRP']"
